sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1121448,2,1,1,1,2012-04-25 07:34:26,2012-04-25 08:07:30,33.069999,12.5823,26.549026,51.0,5,1,5,1,5,,2.85,1,0,0,0,0,OTHER,OTHER
1121448,2,2,1,2,2012-04-25 08:10:21,2012-04-25 08:56:20,45.979999,38.368598,55.160023,83.9,6,1,6,1,6,45.690053,445.85,1,0,0,0,0,OTHER,OTHER
1121448,2,3,1,3,2012-04-25 16:22:11,2012-04-25 17:02:25,40.229999,36.898399,57.611718,79.5,6,1,6,1,6,,3.28,1,0,0,0,0,OTHER,OTHER
1121448,2,4,1,4,2012-04-25 17:05:42,2012-04-25 17:26:02,20.329999,8.912599,30.281534,56.5,5,1,5,1,5,20.140363,10.12,1,0,0,0,0,OTHER,OTHER
1121448,2,5,1,5,2012-04-25 17:36:09,2012-04-25 17:42:24,6.25,2.0325,19.3328,33.6,5,1,5,1,5,22.93554,873.58,1,0,0,0,0,OTHER,HOME
1121448,2,6,2,1,2012-04-26 08:15:59,2012-04-26 08:47:27,31.469999,10.7159,30.024178,53.4,5,2,"5,1",2,"1,5",51.510563,278.53,1,0,0,0,0,HOME,OTHER
1121448,2,7,2,2,2012-04-26 13:25:59,2012-04-26 13:31:38,5.65,0.234899,1.626315,3.7,1,1,1,1,1,1028.217092,255.4,1,0,0,0,0,OTHER,OTHER
1121448,2,8,2,3,2012-04-26 17:47:02,2012-04-26 18:20:08,33.099998,10.885199,28.363894,54.7,5,2,"5,1",2,"1,5",120.749197,833.63,1,0,0,0,0,OTHER,HOME
1121448,2,9,3,1,2012-04-27 08:13:46,2012-04-27 08:39:56,26.17,10.717599,31.868607,59.7,5,2,"5,1",2,"1,5",45.70024,249.47,1,0,0,0,0,HOME,OTHER
1121448,2,10,3,2,2012-04-27 12:49:24,2012-04-27 12:51:14,1.83,0.455799,18.760714,36.0,5,1,5,1,5,1196.189354,33.38,1,0,0,0,0,OTHER,OTHER
1121448,2,11,3,3,2012-04-27 13:24:37,2012-04-27 13:35:44,11.119999,0.980899,7.007189,38.5,5,3,"1,5,1",2,"1,5",66.456886,12.18,1,0,0,0,0,OTHER,OTHER
1121448,2,12,3,4,2012-04-27 13:47:55,2012-04-27 13:51:41,3.769999,0.185699,1.857534,3.1,1,1,1,1,1,31.312495,249.12,1,0,0,0,0,OTHER,OTHER
1121448,2,13,3,5,2012-04-27 18:00:48,2012-04-27 18:30:07,29.319999,10.825499,29.656781,52.2,5,1,5,1,5,268.851934,0.0,1,0,0,0,0,OTHER,HOME
