sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1123731,3,1,1,1,2012-07-25 08:20:59,2012-07-25 08:30:12,9.22,3.264499,25.087096,44.7,5,1,5,1,5,,224.52,1,0,0,0,0,HOME,WORK
1123731,3,2,1,2,2012-07-25 12:14:43,2012-07-25 12:17:11,2.47,0.679799,16.238775,28.6,5,1,5,1,5,47.678261,16.28,1,0,0,0,0,WORK,WORK
1123731,3,3,1,3,2012-07-25 12:33:28,2012-07-25 12:35:04,1.6,0.4699,17.015151,32.3,5,1,5,1,5,99.902253,263.62,1,0,0,0,0,WORK,WORK
1123731,3,4,1,4,2012-07-25 16:58:41,2012-07-25 18:11:26,72.75,40.653198,38.294815,86.4,5,1,5,1,5,80.768699,13.13,1,0,0,0,0,WORK,OTHER
1123731,3,5,1,5,2012-07-25 18:24:34,2012-07-25 18:35:44,11.17,2.354099,14.761878,32.9,5,1,5,1,5,22.380334,51.33,1,0,0,0,0,OTHER,OTHER
1123731,3,6,1,6,2012-07-25 19:27:04,2012-07-25 19:39:17,12.22,2.595099,18.119875,55.3,5,1,5,1,5,105.236748,135.35,1,0,0,0,0,OTHER,OTHER
1123731,3,7,1,7,2012-07-25 21:54:38,2012-07-25 21:56:27,1.82,0.3657,9.854166,19.9,5,1,5,1,5,266.303012,96.1,1,0,0,0,0,OTHER,OTHER
1123731,3,8,1,8,2012-07-25 23:32:33,2012-07-26 00:11:21,38.799999,32.8204,56.197717,86.4,5,1,5,1,5,537.530886,3640.2,1,0,0,0,0,OTHER,HOME
