sampno,perno,gpstripid,localid,time_local,gpsspeed
1119021,1,1,2754,2012-02-03 11:33:31,1.899999
1119021,1,1,2755,2012-02-03 11:33:34,1.899999
1119021,1,1,2756,2012-02-03 11:33:37,1.899999
1119021,1,1,2757,2012-02-03 11:33:46,1.2
1119021,1,1,2758,2012-02-03 11:33:49,1.899999
1119021,1,1,2759,2012-02-03 11:33:52,1.899999
1119021,1,1,2760,2012-02-03 11:33:55,1.899999
1119021,1,1,2761,2012-02-03 11:33:58,1.899999
1119021,1,1,2762,2012-02-03 11:34:04,1.2
1119021,1,1,2763,2012-02-03 11:34:15,1.2
1119021,1,1,2764,2012-02-03 11:34:18,1.899999
1119021,1,1,2765,2012-02-03 11:34:21,1.2
1119021,1,1,2766,2012-02-03 11:34:24,1.2
1119021,1,1,2767,2012-02-03 11:34:27,1.899999
1119021,1,1,2768,2012-02-03 11:34:30,1.899999
1119021,1,1,2769,2012-02-03 11:34:33,1.899999
1119021,1,1,2770,2012-02-03 11:34:36,1.899999
1119021,1,1,2771,2012-02-03 11:34:39,1.899999
1119021,1,1,2772,2012-02-03 11:34:42,1.2
1119021,1,1,2773,2012-02-03 11:34:45,1.899999
1119021,1,1,2774,2012-02-03 11:34:48,1.2
1119021,1,1,2775,2012-02-03 11:34:51,1.2
1119021,1,1,2776,2012-02-03 11:34:54,1.899999
1119021,1,1,2777,2012-02-03 11:34:57,1.899999
1119021,1,1,2778,2012-02-03 11:35:00,1.2
1119021,1,2,2902,2012-02-03 12:06:55,1.899999
1119021,1,2,2903,2012-02-03 12:06:58,1.899999
1119021,1,2,2904,2012-02-03 12:07:01,1.899999
1119021,1,2,2905,2012-02-03 12:07:04,1.899999
1119021,1,2,2906,2012-02-03 12:07:07,1.899999
1119021,1,2,2907,2012-02-03 12:07:10,2.5
1119021,1,2,2908,2012-02-03 12:07:13,1.899999
1119021,1,2,2909,2012-02-03 12:07:16,2.5
1119021,1,2,2910,2012-02-03 12:07:19,1.899999
1119021,1,2,2911,2012-02-03 12:07:22,2.5
1119021,1,2,2912,2012-02-03 12:07:25,1.899999
1119021,1,2,2913,2012-02-03 12:07:28,1.899999
1119021,1,2,2914,2012-02-03 12:07:31,1.899999
1119021,1,2,2915,2012-02-03 12:07:34,1.899999
1119021,1,2,2916,2012-02-03 12:07:37,2.5
1119021,1,2,2917,2012-02-03 12:07:40,1.899999
1119021,1,2,2918,2012-02-03 12:07:43,1.899999
1119021,1,2,2919,2012-02-03 12:07:46,1.899999
1119021,1,2,2920,2012-02-03 12:07:49,2.5
1119021,1,2,2921,2012-02-03 12:07:52,1.899999
1119021,1,2,2922,2012-02-03 12:07:55,1.899999
1119021,1,2,2923,2012-02-03 12:07:58,2.5
1119021,1,2,2924,2012-02-03 12:08:01,1.899999
1119021,1,2,2925,2012-02-03 12:08:04,1.899999
