sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1119021,1,1,2,1,2012-02-03 11:33:31,2012-02-03 11:35:00,1.48,0.0463,1.648,1.9,1,1,1,1,1,,31.92,1,0,1,0,1,HOME,HOME
1119021,1,2,2,2,2012-02-03 12:06:55,2012-02-03 12:22:07,15.199999,0.5989,2.013602,3.7,1,1,1,1,1,146.109572,5.33,1,0,0,0,0,HOME,OTHER
1119021,1,3,2,3,2012-02-03 12:27:27,2012-02-03 12:44:11,16.729999,0.683499,2.124691,2.5,1,1,1,1,1,56.6309,1557.7,1,0,0,0,0,OTHER,HOME
1119021,1,4,3,1,2012-02-04 14:41:53,2012-02-04 14:54:58,13.079999,2.9326,18.443085,40.4,5,2,"5,1",2,"1,5",66.320968,4.23,1,0,0,0,0,HOME,OTHER
1119021,1,5,3,2,2012-02-04 14:59:12,2012-02-04 15:09:55,10.72,2.908299,21.729559,44.7,5,2,"1,5",2,"1,5",24.921101,43.78,1,0,0,0,0,OTHER,HOME
1119021,1,6,3,3,2012-02-04 15:53:42,2012-02-04 16:06:33,12.85,5.004399,30.450526,69.6,5,2,"5,1",2,"1,5",26.676301,34.28,1,0,0,0,0,HOME,OTHER
1119021,1,7,3,4,2012-02-04 16:40:50,2012-02-04 16:53:25,12.579999,4.934999,28.7625,65.9,5,2,"1,5",2,"1,5",30.546227,0.0,1,0,0,0,0,OTHER,HOME
