sampno,perno,gpstripid,localid,time_local,gpsspeed
1124202,1,1,2,2012-02-03 07:35:12,18.0
1124202,1,1,3,2012-02-03 07:35:15,7.5
1124202,1,1,4,2012-02-03 07:35:18,12.399999
1124202,1,1,5,2012-02-03 07:35:27,6.8
1124202,1,1,6,2012-02-03 07:35:30,8.1
1124202,1,1,7,2012-02-03 07:35:33,16.2
1124202,1,1,8,2012-02-03 07:35:36,14.899999
1124202,1,1,9,2012-02-03 07:35:40,8.1
1124202,1,1,10,2012-02-03 07:35:50,2.5
1124202,1,1,11,2012-02-03 07:35:53,9.3
1124202,1,1,12,2012-02-03 07:35:59,21.7
1124202,1,1,13,2012-02-03 07:36:02,25.5
1124202,1,1,14,2012-02-03 07:36:05,21.1
1124202,1,1,15,2012-02-03 07:36:08,14.899999
1124202,1,1,16,2012-02-03 07:36:11,16.2
1124202,1,1,17,2012-02-03 07:36:14,23.0
1124202,1,1,18,2012-02-03 07:36:19,28.6
1124202,1,1,19,2012-02-03 07:36:22,28.0
1124202,1,1,20,2012-02-03 07:36:25,26.7
1124202,1,1,21,2012-02-03 07:36:28,15.5
1124202,1,2,677,2012-02-03 12:15:57,2.5
1124202,1,2,678,2012-02-03 12:16:33,1.2
1124202,1,2,679,2012-02-03 12:16:36,2.5
1124202,1,2,680,2012-02-03 12:16:39,1.899999
1124202,1,2,681,2012-02-03 12:16:44,1.899999
1124202,1,2,682,2012-02-03 12:16:47,9.3
1124202,1,2,683,2012-02-03 12:16:50,9.3
1124202,1,2,684,2012-02-03 12:16:53,16.2
1124202,1,2,685,2012-02-03 12:16:56,23.0
1124202,1,2,686,2012-02-03 12:16:59,21.7
1124202,1,2,687,2012-02-03 12:17:02,13.0
1124202,1,2,688,2012-02-03 12:17:05,5.599999
1124202,1,2,689,2012-02-03 12:17:08,10.6
1124202,1,2,690,2012-02-03 12:17:11,19.299999
1124202,1,2,691,2012-02-03 12:17:14,29.2
1124202,1,2,692,2012-02-03 12:17:17,32.900001
1124202,1,2,693,2012-02-03 12:17:20,32.299999
1124202,1,2,694,2012-02-03 12:17:23,34.799999
1124202,1,2,695,2012-02-03 12:17:26,33.599998
1124202,1,2,696,2012-02-03 12:17:29,21.7
1124202,1,2,697,2012-02-03 12:17:32,11.8
1124202,1,2,698,2012-02-03 12:17:35,19.899999
1124202,1,2,699,2012-02-03 12:17:38,32.900001
1124202,1,2,700,2012-02-03 12:17:41,42.900001
1124202,1,2,701,2012-02-03 12:17:44,48.5
1124202,1,2,702,2012-02-03 12:17:47,49.099998
1124202,1,2,703,2012-02-03 12:17:50,49.7
1124202,1,2,704,2012-02-03 12:17:53,49.7
1124202,1,2,705,2012-02-03 12:17:56,49.099998
1124202,1,2,706,2012-02-03 12:17:59,48.5
1124202,1,2,707,2012-02-03 12:18:02,49.7
1124202,1,2,708,2012-02-03 12:18:05,50.299999
1124202,1,2,709,2012-02-03 12:18:08,51.0
1124202,1,2,710,2012-02-03 12:18:11,51.0
1124202,1,2,711,2012-02-03 12:18:14,47.799999
1124202,1,2,712,2012-02-03 12:18:17,41.0
1124202,1,2,713,2012-02-03 12:18:20,27.299999
1124202,1,2,714,2012-02-03 12:18:23,21.7
1124202,1,2,715,2012-02-03 12:18:26,28.6
1124202,1,2,716,2012-02-03 12:18:29,46.0
1124202,1,2,717,2012-02-03 12:18:32,56.5
1124202,1,2,718,2012-02-03 12:18:35,60.299999
1124202,1,2,719,2012-02-03 12:18:38,57.2
1124202,1,2,720,2012-02-03 12:18:41,53.400001
1124202,1,2,721,2012-02-03 12:18:44,55.299999
1124202,1,2,722,2012-02-03 12:18:47,59.0
1124202,1,2,723,2012-02-03 12:18:50,60.299999
1124202,1,2,724,2012-02-03 12:18:53,61.5
1124202,1,2,725,2012-02-03 12:18:56,64.0
1124202,1,2,726,2012-02-03 12:18:59,67.099998
1124202,1,2,727,2012-02-03 12:19:02,66.5
1124202,1,2,728,2012-02-03 12:19:05,67.099998
1124202,1,2,729,2012-02-03 12:19:08,67.099998
1124202,1,2,730,2012-02-03 12:19:11,66.5
1124202,1,2,731,2012-02-03 12:19:14,66.5
1124202,1,2,732,2012-02-03 12:19:17,67.099998
1124202,1,2,733,2012-02-03 12:19:20,67.099998
1124202,1,2,734,2012-02-03 12:19:23,66.900001
1124202,1,2,735,2012-02-03 12:19:26,67.099998
1124202,1,2,736,2012-02-03 12:19:29,66.5
1124202,1,2,737,2012-02-03 12:19:32,67.099998
1124202,1,2,738,2012-02-03 12:19:35,67.099998
1124202,1,2,739,2012-02-03 12:19:38,67.099998
1124202,1,2,740,2012-02-03 12:19:41,66.5
1124202,1,2,741,2012-02-03 12:19:44,67.099998
1124202,1,2,742,2012-02-03 12:19:47,66.5
1124202,1,2,743,2012-02-03 12:19:50,66.5
1124202,1,2,744,2012-02-03 12:19:53,66.5
1124202,1,2,745,2012-02-03 12:19:56,66.5
1124202,1,2,746,2012-02-03 12:19:59,67.099998
1124202,1,2,747,2012-02-03 12:20:02,66.5
1124202,1,2,748,2012-02-03 12:20:05,67.099998
1124202,1,2,749,2012-02-03 12:20:08,66.5
1124202,1,2,750,2012-02-03 12:20:11,66.5
1124202,1,2,751,2012-02-03 12:20:14,66.5
1124202,1,2,752,2012-02-03 12:20:17,66.5
1124202,1,2,753,2012-02-03 12:20:20,67.099998
1124202,1,2,754,2012-02-03 12:20:23,66.5
1124202,1,2,755,2012-02-03 12:20:26,67.099998
1124202,1,2,756,2012-02-03 12:20:29,66.5
1124202,1,2,757,2012-02-03 12:20:32,66.5
1124202,1,2,758,2012-02-03 12:20:35,66.5
1124202,1,2,759,2012-02-03 12:20:38,66.5
1124202,1,2,760,2012-02-03 12:20:41,66.5
1124202,1,2,761,2012-02-03 12:20:44,67.099998
1124202,1,2,762,2012-02-03 12:20:47,67.099998
1124202,1,2,763,2012-02-03 12:20:50,67.099998
1124202,1,2,764,2012-02-03 12:20:53,66.5
1124202,1,2,765,2012-02-03 12:20:56,67.099998
1124202,1,2,766,2012-02-03 12:20:59,66.5
1124202,1,2,767,2012-02-03 12:21:02,67.099998
1124202,1,2,768,2012-02-03 12:21:05,66.5
1124202,1,2,769,2012-02-03 12:21:08,66.5
1124202,1,2,770,2012-02-03 12:21:11,67.099998
1124202,1,2,771,2012-02-03 12:21:14,67.099998
1124202,1,2,772,2012-02-03 12:21:17,65.900001
1124202,1,2,773,2012-02-03 12:21:20,67.099998
1124202,1,2,774,2012-02-03 12:21:23,64.599998
1124202,1,2,775,2012-02-03 12:21:26,63.400001
