sampno,perno,gpstripid,localid,time_local,gpsspeed
1119762,1,1,2020,2012-02-02 12:46:51,1.2
1119762,1,1,2021,2012-02-02 12:46:54,4.3
1119762,1,1,2022,2012-02-02 12:46:57,16.2
1119762,1,1,2023,2012-02-02 12:47:00,18.0
1119762,1,1,2024,2012-02-02 12:47:03,19.899999
1119762,1,1,2025,2012-02-02 12:47:06,21.1
1119762,1,1,2026,2012-02-02 12:47:09,13.699999
1119762,1,1,2027,2012-02-02 12:47:12,1.899999
1119762,1,1,2028,2012-02-02 12:47:52,1.899999
1119762,1,1,2029,2012-02-02 12:47:55,4.3
1119762,1,1,2030,2012-02-02 12:47:58,3.7
1119762,1,1,2031,2012-02-02 12:48:02,13.699999
1119762,1,1,2032,2012-02-02 12:48:05,19.899999
1119762,1,1,2033,2012-02-02 12:48:08,19.899999
1119762,1,1,2034,2012-02-02 12:48:12,5.0
1119762,1,1,2035,2012-02-02 12:48:18,1.2
1119762,1,1,2036,2012-02-02 12:48:31,3.099999
1119762,1,1,2037,2012-02-02 12:48:35,16.799999
1119762,1,1,2038,2012-02-02 12:48:39,19.899999
1119762,1,1,2039,2012-02-02 12:48:42,16.799999
1119762,1,1,2040,2012-02-02 12:48:45,11.8
1119762,1,1,2041,2012-02-02 12:48:48,18.6
1119762,1,1,2042,2012-02-02 12:48:51,23.6
1119762,1,1,2043,2012-02-02 12:48:54,26.1
1119762,1,1,2044,2012-02-02 12:48:57,27.299999
1119762,1,1,2045,2012-02-02 12:49:00,28.6
1119762,1,1,2046,2012-02-02 12:49:04,27.299999
1119762,1,1,2047,2012-02-02 12:49:07,26.7
1119762,1,1,2048,2012-02-02 12:49:10,26.7
1119762,1,1,2049,2012-02-02 12:49:13,27.299999
1119762,1,1,2050,2012-02-02 12:49:16,27.299999
1119762,1,1,2051,2012-02-02 12:49:20,26.7
1119762,1,1,2052,2012-02-02 12:49:23,25.5
1119762,1,1,2053,2012-02-02 12:49:26,27.299999
1119762,1,1,2054,2012-02-02 12:49:30,25.5
1119762,1,1,2055,2012-02-02 12:49:33,19.899999
1119762,1,1,2056,2012-02-02 12:49:36,13.699999
1119762,1,1,2057,2012-02-02 12:49:40,3.099999
1119762,1,1,2058,2012-02-02 12:49:46,1.2
1119762,1,1,2059,2012-02-02 12:49:49,10.6
1119762,1,1,2060,2012-02-02 12:49:52,14.899999
1119762,1,1,2061,2012-02-02 12:49:55,19.299999
1119762,1,1,2062,2012-02-02 12:49:58,21.1
1119762,1,1,2063,2012-02-02 12:50:01,22.399999
1119762,1,1,2064,2012-02-02 12:50:04,21.7
1119762,1,1,2065,2012-02-02 12:50:07,20.5
1119762,1,1,2066,2012-02-02 12:50:10,11.199999
1119762,1,1,2067,2012-02-02 12:50:13,11.199999
1119762,1,1,2068,2012-02-02 12:50:16,16.799999
1119762,1,1,2069,2012-02-02 12:50:19,26.1
1119762,1,1,2070,2012-02-02 12:50:22,29.2
1119762,1,1,2071,2012-02-02 12:50:25,29.2
1119762,1,1,2072,2012-02-02 12:50:28,28.0
1119762,1,1,2073,2012-02-02 12:50:31,26.7
1119762,1,1,2074,2012-02-02 12:50:34,24.899999
1119762,1,1,2075,2012-02-02 12:50:37,19.899999
1119762,1,1,2076,2012-02-02 12:50:41,8.1
1119762,1,1,2077,2012-02-02 12:50:44,5.599999
1119762,1,1,2078,2012-02-02 12:50:47,6.199999
1119762,1,1,2079,2012-02-02 12:50:50,6.8
1119762,1,1,2080,2012-02-02 12:50:53,3.7
1119762,1,1,2081,2012-02-02 12:50:56,1.899999
1119762,1,2,2090,2012-02-02 12:54:19,3.7
1119762,1,2,2091,2012-02-02 12:54:22,3.7
1119762,1,2,2092,2012-02-02 12:54:25,5.0
1119762,1,2,2093,2012-02-02 12:54:28,5.0
1119762,1,2,2094,2012-02-02 12:54:31,3.7
1119762,1,2,2095,2012-02-02 12:55:24,1.2
1119762,1,2,2096,2012-02-02 12:55:27,5.599999
1119762,1,2,2097,2012-02-02 12:55:30,8.699999
1119762,1,2,2098,2012-02-02 12:55:33,14.3
1119762,1,2,2099,2012-02-02 12:55:36,22.399999
1119762,1,2,2100,2012-02-02 12:55:39,26.1
1119762,1,2,2101,2012-02-02 12:55:42,28.0
1119762,1,2,2102,2012-02-02 12:55:45,29.799999
1119762,1,2,2103,2012-02-02 12:55:48,31.1
1119762,1,2,2104,2012-02-02 12:55:51,29.2
1119762,1,2,2105,2012-02-02 12:55:54,28.0
1119762,1,2,2106,2012-02-02 12:55:57,18.6
1119762,1,2,2107,2012-02-02 12:56:00,6.8
1119762,1,2,2108,2012-02-02 12:56:15,1.2
1119762,1,2,2109,2012-02-02 12:56:18,9.899999
1119762,1,2,2110,2012-02-02 12:56:22,9.3
1119762,1,2,2111,2012-02-02 12:56:25,19.299999
1119762,1,2,2112,2012-02-02 12:56:28,20.5
1119762,1,2,2113,2012-02-02 12:56:31,20.5
1119762,1,2,2114,2012-02-02 12:56:35,13.699999
1119762,1,2,2115,2012-02-02 12:56:38,3.7
1119762,1,2,2116,2012-02-02 12:57:11,1.2
1119762,1,2,2117,2012-02-02 12:57:14,8.699999
