sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1065589,2,1,1,1,2012-06-07 18:18:44,2012-06-07 18:31:43,12.979999,3.3787,21.013368,42.3,5,2,"5,1",2,"1,5",,28.48,1,0,0,0,0,HOME,OTHER
1065589,2,2,1,2,2012-06-07 19:00:12,2012-06-07 19:12:06,11.899999,3.7237,20.413744,34.8,5,2,"1,5",2,"1,5",162.829723,984.1,1,0,0,0,0,OTHER,HOME
1065589,2,3,2,1,2012-06-08 11:36:12,2012-06-08 11:44:47,8.579999,2.4177,20.116312,46.0,5,1,5,1,5,4.611233,3.65,1,0,0,0,0,HOME,OTHER
1065589,2,4,2,2,2012-06-08 11:48:26,2012-06-08 11:52:23,3.95,0.3767,7.915094,31.1,5,2,"5,1",2,"1,5",19.988969,1.12,1,0,0,0,0,OTHER,OTHER
1065589,2,5,2,3,2012-06-08 11:53:30,2012-06-08 12:05:50,12.329999,2.586899,18.143712,41.0,5,3,"1,5,1",2,"1,5",6.781995,32.97,1,0,0,0,0,OTHER,OTHER
1065589,2,6,2,4,2012-06-08 12:38:48,2012-06-08 12:46:44,7.929999,1.1892,13.711,42.9,5,2,"1,5",2,"1,5",58.420901,1494.1,1,0,0,0,0,OTHER,HOME
1065589,2,7,3,1,2012-06-09 13:40:50,2012-06-09 13:54:47,13.949999,3.525799,18.204186,43.5,5,2,"5,1",2,"1,5",62.808444,0.07,1,0,0,0,0,HOME,OTHER
1065589,2,8,3,2,2012-06-09 13:54:51,2012-06-09 14:04:43,9.869999,1.2266,10.148872,39.1,5,3,"1,5,1",2,"1,5",12.039552,32.87,1,0,0,0,0,OTHER,OTHER
1065589,2,9,3,3,2012-06-09 14:37:35,2012-06-09 14:52:55,15.329999,4.362199,17.068947,42.9,5,2,"1,5",2,"1,5",38.239031,0.0,1,0,0,0,0,OTHER,HOME
