sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1123197,2,1,1,1,2012-02-06 15:15:49,2012-02-06 15:28:57,13.13,4.845499,24.376548,57.2,5,1,5,1,5,,0.65,1,0,0,0,0,OTHER,OTHER
1123197,2,2,1,2,2012-02-06 15:29:36,2012-02-06 15:36:30,6.9,0.1914,3.596226,8.7,4,1,4,1,4,21.115184,5.82,1,0,1,1,0,OTHER,OTHER
1123197,2,3,1,3,2012-02-06 15:42:19,2012-02-06 15:52:29,10.17,0.787299,4.707142,8.7,4,1,4,1,4,9.065327,2.27,1,0,1,1,0,OTHER,OTHER
1123197,2,4,1,4,2012-02-06 15:54:45,2012-02-06 16:06:27,11.699999,1.0197,5.232057,8.7,4,1,4,1,4,30.146575,3.83,1,0,1,1,0,OTHER,OTHER
1123197,2,5,1,5,2012-02-06 16:10:17,2012-02-06 16:15:08,4.849999,0.1781,2.616666,6.8,4,1,4,1,4,23.109554,2.02,1,0,1,1,0,OTHER,OTHER
1123197,2,6,1,6,2012-02-06 16:17:09,2012-02-06 16:20:36,3.45,0.524699,12.978723,19.9,5,1,5,1,5,30.146549,4.87,1,0,0,0,0,OTHER,OTHER
1123197,2,7,1,7,2012-02-06 16:25:28,2012-02-06 16:34:46,9.3,3.926,26.41156,56.5,5,1,5,1,5,30.011388,117.42,1,0,0,0,0,OTHER,OTHER
1123197,2,8,1,8,2012-02-06 18:32:11,2012-02-06 18:34:52,2.68,1.235299,27.318518,57.2,5,1,5,1,5,19.828402,9.22,1,0,0,0,0,OTHER,OTHER
1123197,2,9,1,9,2012-02-06 18:44:05,2012-02-06 18:50:04,5.98,1.7695,24.007954,47.2,5,2,"5,1",2,"1,5",19.828346,102.27,1,0,0,0,0,OTHER,OTHER
1123197,2,10,1,10,2012-02-06 20:32:20,2012-02-06 20:41:28,9.13,2.957799,26.470895,51.6,5,2,"1,5",2,"1,5",7.719762,669.05,1,0,0,0,0,OTHER,OTHER
1123197,2,11,2,1,2012-02-07 07:50:31,2012-02-07 07:54:26,3.92,1.582299,24.899999,41.6,5,1,5,1,5,25.73768,304.03,1,0,0,0,0,OTHER,OTHER
1123197,2,12,2,2,2012-02-07 12:58:28,2012-02-07 13:02:42,4.23,1.2718,18.748148,33.6,5,1,5,1,5,13.139259,3.63,1,0,0,0,0,OTHER,OTHER
1123197,2,13,2,3,2012-02-07 13:06:20,2012-02-07 13:11:40,5.329999,1.4061,16.26699,32.3,5,1,5,1,5,148.710539,206.85,1,0,0,0,0,OTHER,OTHER
1123197,2,14,2,4,2012-02-07 16:38:31,2012-02-07 16:42:12,3.68,1.584499,26.042465,39.8,5,1,5,1,5,46.808824,136.1,1,0,0,0,0,OTHER,OTHER
1123197,2,15,2,5,2012-02-07 18:58:18,2012-02-07 19:03:07,4.82,2.4191,30.716842,51.6,5,1,5,1,5,72.373698,7.7,1,0,0,0,0,OTHER,OTHER
1123197,2,16,2,6,2012-02-07 19:10:49,2012-02-07 19:16:57,6.13,4.700099,47.578151,77.0,5,1,5,1,5,45.413438,6.52,1,0,0,0,0,OTHER,OTHER
1123197,2,17,2,7,2012-02-07 19:23:28,2012-02-07 19:27:34,4.099999,2.0762,30.71358,69.6,5,1,5,1,5,7.720441,2.05,1,0,0,0,0,OTHER,OTHER
1123197,2,18,2,8,2012-02-07 19:29:37,2012-02-07 19:36:52,7.25,3.8759,32.51958,53.4,5,1,5,1,5,4.535175,7.0,1,0,0,0,0,OTHER,OTHER
1123197,2,19,2,9,2012-02-07 19:43:52,2012-02-07 19:55:43,11.85,8.613499,44.958874,73.9,5,1,5,1,5,27.54285,23.38,1,0,0,0,0,OTHER,OTHER
1123197,2,20,2,10,2012-02-07 20:19:06,2012-02-07 20:25:19,6.219999,3.0977,32.325217,60.3,5,1,5,1,5,8.992982,1291.78,1,0,0,0,0,OTHER,OTHER
1123197,2,21,3,1,2012-02-08 17:57:06,2012-02-08 18:09:15,12.149999,9.2739,48.419047,75.8,5,1,5,1,5,1531.281957,117.65,1,0,0,0,0,OTHER,OTHER
1123197,2,22,3,2,2012-02-08 20:06:54,2012-02-08 20:19:06,12.199999,9.3667,51.284545,79.5,5,1,5,1,5,39.776696,0.0,1,0,0,0,0,OTHER,OTHER
