sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1121125,1,1,1,1,2012-04-24 16:12:49,2012-04-24 16:16:13,3.4,1.3595,23.213043,41.6,5,1,5,1,5,,0.93,1,0,0,0,0,OTHER,HOME
1121125,1,2,1,2,2012-04-24 16:17:09,2012-04-24 16:18:12,1.049999,0.2166,10.954545,17.4,5,1,5,1,5,25.406572,83.1,1,0,0,0,0,HOME,HOME
1121125,1,3,1,3,2012-04-24 17:41:18,2012-04-24 17:59:23,18.079999,9.505,30.042857,53.4,5,1,5,1,5,14.698192,6.53,1,0,0,0,0,HOME,OTHER
1121125,1,4,1,4,2012-04-24 18:05:55,2012-04-24 18:18:49,12.899999,1.6092,7.500409,45.4,5,2,"5,1",2,"1,5",101.179222,177.25,1,0,0,0,0,OTHER,OTHER
1121125,1,5,1,5,2012-04-24 21:16:04,2012-04-24 21:16:57,0.879999,0.041499,2.494444,3.1,1,1,1,1,1,73.006041,1.62,1,0,0,1,0,OTHER,OTHER
1121125,1,6,1,6,2012-04-24 21:18:34,2012-04-24 21:30:27,11.88,1.532999,7.936363,38.5,5,2,"1,5",2,"1,5",58.791694,6.6,1,0,0,0,0,OTHER,OTHER
1121125,1,7,1,7,2012-04-24 21:37:03,2012-04-24 21:47:13,10.17,8.3395,49.404545,69.0,5,1,5,1,5,147.932736,3.37,1,0,0,0,0,OTHER,OTHER
1121125,1,8,1,8,2012-04-24 21:50:35,2012-04-24 21:55:48,5.219999,1.9886,21.815238,42.9,5,1,5,1,5,37.051006,2371.35,1,0,0,0,0,OTHER,HOME
1121125,1,9,3,1,2012-04-26 13:27:09,2012-04-26 13:48:51,21.7,13.5795,36.441747,66.5,5,1,5,1,5,22.819433,0.53,1,0,0,0,0,HOME,OTHER
1121125,1,10,3,2,2012-04-26 13:49:23,2012-04-26 13:56:31,7.13,4.317299,37.704724,62.8,5,1,5,1,5,4.560796,541.28,1,0,0,0,0,OTHER,OTHER
1121125,1,11,3,3,2012-04-26 22:57:48,2012-04-26 23:02:36,4.8,1.6964,20.998924,42.9,5,1,5,1,5,,138.87,1,0,0,0,0,OTHER,OTHER
1121125,1,12,3,4,2012-04-27 01:21:28,2012-04-27 01:37:20,15.869999,9.7108,36.906349,67.1,5,1,5,1,5,35.639657,0.0,1,0,0,0,0,OTHER,HOME
