sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1124474,1,1,1,1,2012-02-28 08:03:09,2012-02-28 08:09:21,6.199999,3.0885,29.690399,50.3,5,1,5,1,5,,557.25,1,0,0,0,0,HOME,WORK
1124474,1,2,1,2,2012-02-28 17:26:36,2012-02-28 17:31:29,4.88,2.6054,31.839796,59.0,5,1,5,1,5,157.004925,0.22,1,0,0,0,0,WORK,OTHER
1124474,1,3,1,3,2012-02-28 17:31:42,2012-02-28 17:35:32,3.829999,0.9865,16.742028,32.9,5,1,5,1,5,11.098678,0.0,1,0,0,0,0,OTHER,HOME
