sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1121606,1,1,1,1,2012-02-03 09:36:58,2012-02-03 09:42:03,5.079999,3.0671,36.757425,54.1,5,1,5,1,5,,74.0,1,0,0,0,0,OTHER,OTHER
1121606,1,2,1,2,2012-02-03 10:56:03,2012-02-03 10:59:04,3.019999,1.0247,20.705084,40.4,5,1,5,1,5,13.500367,21.75,1,0,0,0,0,OTHER,WORK
1121606,1,3,1,3,2012-02-03 11:20:49,2012-02-03 11:22:37,1.799999,0.658399,21.291891,35.4,5,1,5,1,5,15.262578,1.87,1,0,0,0,0,WORK,OTHER
1121606,1,4,1,4,2012-02-03 11:24:29,2012-02-03 11:31:32,7.05,3.963599,34.012142,51.6,5,1,5,1,5,11.350292,10.85,1,0,0,0,0,OTHER,HOME
1121606,1,5,1,5,2012-02-03 11:42:23,2012-02-03 11:51:26,9.05,6.1043,41.923999,75.8,5,1,5,1,5,26.06803,29.3,1,0,0,0,0,HOME,OTHER
1121606,1,6,1,6,2012-02-03 12:20:44,2012-02-03 12:22:05,1.35,0.307999,13.085714,25.5,5,1,5,1,5,45.412655,5.88,1,0,0,0,0,OTHER,OTHER
1121606,1,7,1,7,2012-02-03 12:27:58,2012-02-03 12:36:47,8.819999,6.076399,44.570731,73.9,5,1,5,1,5,103.277564,55.5,1,0,0,0,0,OTHER,HOME
1121606,1,8,1,8,2012-02-03 13:32:17,2012-02-03 14:00:07,27.829999,22.1061,49.066913,64.0,5,1,5,1,5,91.491127,4.47,2,0,0,0,0,HOME,OTHER
1121606,1,9,1,9,2012-02-03 14:04:35,2012-02-03 14:05:53,1.299999,0.2991,13.162962,27.3,6,1,6,1,6,35.94581,95.97,4,0,0,0,0,OTHER,OTHER
1121606,1,10,1,10,2012-02-03 15:41:51,2012-02-03 15:43:47,1.929999,0.2897,13.791999,29.8,6,1,6,1,6,51.139913,3.35,4,0,0,0,0,OTHER,OTHER
1121606,1,11,1,11,2012-02-03 15:47:08,2012-02-03 15:52:20,5.199999,0.8967,14.108,32.9,6,1,6,1,6,26.017929,14.68,4,0,0,0,0,OTHER,OTHER
1121606,1,12,1,12,2012-02-03 16:07:01,2012-02-03 16:10:29,3.47,0.724799,16.226415,35.4,6,1,6,1,6,17.219189,3.93,4,0,0,0,0,OTHER,OTHER
1121606,1,13,1,13,2012-02-03 16:14:25,2012-02-03 16:41:43,27.299999,21.9894,49.116542,65.2,6,1,6,1,6,64.690435,1180.0,3,0,0,0,0,OTHER,HOME
1121606,1,14,2,1,2012-02-04 12:21:43,2012-02-04 12:27:29,5.769999,3.1308,32.63913,58.4,5,1,5,1,5,18.236633,0.7,1,0,0,0,0,HOME,OTHER
1121606,1,15,2,2,2012-02-04 12:28:11,2012-02-04 12:33:53,5.699999,3.084,37.684693,70.2,5,1,5,1,5,18.830026,64.9,1,0,0,0,0,OTHER,HOME
1121606,1,16,2,3,2012-02-04 13:38:47,2012-02-04 13:47:47,9.0,6.219999,41.333149,75.2,5,1,5,1,5,43.618205,1.85,1,0,0,0,0,HOME,OTHER
1121606,1,17,2,4,2012-02-04 13:49:38,2012-02-04 13:51:44,2.099999,0.609899,16.702325,27.3,5,1,5,1,5,31.505128,2.47,1,0,0,0,0,OTHER,OTHER
1121606,1,18,2,5,2012-02-04 13:54:12,2012-02-04 13:57:08,2.93,0.9301,18.409091,29.8,5,1,5,1,5,11.152077,35.72,1,0,0,0,0,OTHER,OTHER
1121606,1,19,2,6,2012-02-04 14:32:51,2012-02-04 14:34:56,2.079999,0.491699,14.197435,25.5,5,1,5,1,5,3.607471,140.52,1,0,0,0,0,OTHER,OTHER
1121606,1,20,2,7,2012-02-04 16:55:27,2012-02-04 17:04:44,9.279999,6.451799,42.024,78.3,5,1,5,1,5,45.414588,999.18,1,0,0,0,0,OTHER,HOME
1121606,1,21,3,1,2012-02-05 09:43:55,2012-02-05 09:54:27,10.529999,6.1153,38.481151,68.4,5,1,5,1,5,,3.58,1,0,0,0,0,OTHER,OTHER
1121606,1,22,3,2,2012-02-05 09:58:02,2012-02-05 10:00:53,2.849999,0.623799,12.815517,21.7,5,1,5,1,5,19.439167,104.97,1,0,0,0,0,OTHER,OTHER
1121606,1,23,3,3,2012-02-05 11:45:51,2012-02-05 11:48:41,2.829999,0.633599,13.4375,26.7,5,1,5,1,5,21.528545,0.23,1,0,0,0,0,OTHER,OTHER
1121606,1,24,3,4,2012-02-05 11:48:55,2012-02-05 11:52:12,3.279999,0.61,12.215254,20.5,5,1,5,1,5,5.382658,1.38,1,0,0,0,0,OTHER,OTHER
1121606,1,25,3,5,2012-02-05 11:53:35,2012-02-05 11:54:23,0.8,0.1032,7.699999,17.4,5,1,5,1,5,12.086929,30.3,1,0,0,0,0,OTHER,OTHER
1121606,1,26,3,6,2012-02-05 12:24:41,2012-02-05 12:33:56,9.25,6.0465,38.930107,69.6,5,1,5,1,5,13.455603,0.0,1,0,0,0,0,OTHER,HOME
