sampno,perno,gpstripid,localid,time_local,gpsspeed
1121606,1,1,2,2012-02-03 09:36:58,54.099998
1121606,1,1,3,2012-02-03 09:37:01,53.400001
1121606,1,1,4,2012-02-03 09:37:04,52.799999
1121606,1,1,5,2012-02-03 09:37:07,51.0
1121606,1,1,6,2012-02-03 09:37:10,50.299999
1121606,1,1,7,2012-02-03 09:37:13,49.099998
1121606,1,1,8,2012-02-03 09:37:16,47.799999
1121606,1,1,9,2012-02-03 09:37:19,46.0
1121606,1,1,10,2012-02-03 09:37:22,45.400001
1121606,1,1,11,2012-02-03 09:37:25,44.7
1121606,1,1,12,2012-02-03 09:37:28,44.099998
1121606,1,1,13,2012-02-03 09:37:31,44.099998
1121606,1,1,14,2012-02-03 09:37:34,44.099998
1121606,1,1,15,2012-02-03 09:37:37,44.099998
1121606,1,1,16,2012-02-03 09:37:40,43.5
1121606,1,1,17,2012-02-03 09:37:43,44.099998
1121606,1,1,18,2012-02-03 09:37:46,44.7
1121606,1,1,19,2012-02-03 09:37:49,44.7
1121606,1,1,20,2012-02-03 09:37:52,43.5
1121606,1,1,21,2012-02-03 09:37:55,42.900001
1121606,1,1,22,2012-02-03 09:37:58,47.2
1121606,1,1,23,2012-02-03 09:38:01,49.099998
1121606,1,1,24,2012-02-03 09:38:04,49.099998
1121606,1,1,25,2012-02-03 09:38:07,48.5
1121606,1,1,26,2012-02-03 09:38:10,45.400001
1121606,1,1,27,2012-02-03 09:38:13,42.900001
1121606,1,1,28,2012-02-03 09:38:16,42.299999
1121606,1,1,29,2012-02-03 09:38:19,42.299999
1121606,1,1,30,2012-02-03 09:38:22,43.5
1121606,1,1,31,2012-02-03 09:38:25,44.099998
1121606,1,1,32,2012-02-03 09:38:28,42.900001
1121606,1,1,33,2012-02-03 09:38:31,42.299999
1121606,1,1,34,2012-02-03 09:38:34,42.299999
1121606,1,1,35,2012-02-03 09:38:37,42.299999
1121606,1,1,36,2012-02-03 09:38:40,41.0
1121606,1,1,37,2012-02-03 09:38:43,40.400001
1121606,1,1,38,2012-02-03 09:38:46,42.299999
1121606,1,1,39,2012-02-03 09:38:49,44.7
1121606,1,1,40,2012-02-03 09:38:52,42.900001
1121606,1,1,41,2012-02-03 09:38:55,40.400001
1121606,1,1,42,2012-02-03 09:38:58,39.799999
1121606,1,1,43,2012-02-03 09:39:01,39.099998
1121606,1,1,44,2012-02-03 09:39:04,40.400001
1121606,1,1,45,2012-02-03 09:39:07,43.5
1121606,1,1,46,2012-02-03 09:39:10,42.299999
1121606,1,1,47,2012-02-03 09:39:13,38.5
1121606,1,1,48,2012-02-03 09:39:16,37.299999
1121606,1,1,49,2012-02-03 09:39:19,37.299999
1121606,1,1,50,2012-02-03 09:39:22,37.299999
1121606,1,1,51,2012-02-03 09:39:25,37.900001
1121606,1,1,52,2012-02-03 09:39:28,37.299999
1121606,1,1,53,2012-02-03 09:39:31,35.400001
1121606,1,1,54,2012-02-03 09:39:34,32.900001
1121606,1,1,55,2012-02-03 09:39:37,32.299999
1121606,1,1,56,2012-02-03 09:39:40,31.1
1121606,1,1,57,2012-02-03 09:39:43,31.1
1121606,1,1,58,2012-02-03 09:39:46,29.799999
1121606,1,1,59,2012-02-03 09:39:49,28.6
1121606,1,1,60,2012-02-03 09:39:52,27.299999
1121606,1,1,61,2012-02-03 09:39:55,28.0
1121606,1,1,62,2012-02-03 09:39:58,28.0
1121606,1,1,63,2012-02-03 09:40:01,25.5
1121606,1,1,64,2012-02-03 09:40:04,26.1
1121606,1,1,65,2012-02-03 09:40:07,28.0
1121606,1,1,66,2012-02-03 09:40:10,29.2
1121606,1,1,67,2012-02-03 09:40:13,31.1
1121606,1,1,68,2012-02-03 09:40:16,31.7
1121606,1,1,69,2012-02-03 09:40:19,32.900001
