sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1123731,4,1,1,1,2012-07-25 08:11:26,2012-07-25 08:14:29,3.049999,0.688,14.615094,37.3,5,1,5,1,5,,2.42,1,0,0,0,0,HOME,OTHER
1123731,4,2,1,2,2012-07-25 08:16:54,2012-07-25 09:09:57,53.049999,37.467098,45.863942,79.5,5,1,5,1,5,49.218896,214.0,1,0,0,0,0,OTHER,OTHER
1123731,4,3,1,3,2012-07-25 12:43:57,2012-07-25 12:47:43,3.769999,0.1729,2.744897,6.2,1,1,1,1,1,727.813695,4.18,1,0,0,0,0,OTHER,OTHER
1123731,4,4,1,4,2012-07-25 12:51:54,2012-07-25 12:53:28,1.57,0.118,2.349999,3.7,1,1,1,1,1,232.998606,0.92,1,0,0,0,0,OTHER,OTHER
1123731,4,5,1,5,2012-07-25 12:54:23,2012-07-25 12:57:46,3.38,0.1981,2.028,4.3,1,1,1,1,1,74.766427,211.37,1,0,0,0,0,OTHER,OTHER
1123731,4,6,1,6,2012-07-25 16:29:08,2012-07-25 17:18:14,49.099998,36.973598,50.491219,81.4,5,2,"5,1",2,"1,5",898.587883,63.27,1,0,0,0,0,OTHER,OTHER
1123731,4,7,1,7,2012-07-25 18:21:30,2012-07-25 18:34:59,13.479999,3.9888,22.346889,46.6,5,2,"1,5",2,"1,5",44.464893,881.98,1,0,0,0,0,OTHER,HOME
1123731,4,8,2,1,2012-07-26 09:16:58,2012-07-26 09:27:37,10.649999,2.786799,22.370548,47.2,5,1,5,1,5,76.557614,9.35,1,0,0,0,0,HOME,OTHER
1123731,4,9,2,2,2012-07-26 09:36:58,2012-07-26 09:41:10,4.199999,0.535799,15.589743,32.3,5,1,5,1,5,161.615192,4.2,1,0,0,0,0,OTHER,OTHER
1123731,4,10,2,3,2012-07-26 09:45:22,2012-07-26 09:52:48,7.429999,0.5192,4.052671,17.4,5,2,"5,1",2,"1,5",87.667684,283.73,1,0,0,0,0,OTHER,OTHER
1123731,4,11,2,4,2012-07-26 14:36:32,2012-07-26 14:43:27,6.92,1.7825,22.163541,44.7,5,2,"5,1",2,"1,5",1083.215892,14.38,1,0,0,0,0,OTHER,OTHER
1123731,4,12,2,5,2012-07-26 14:57:50,2012-07-26 14:59:08,1.299999,0.054999,1.666666,2.5,1,1,1,1,1,20.329831,8.23,1,0,0,1,0,OTHER,OTHER
1123731,4,13,2,6,2012-07-26 15:07:22,2012-07-26 15:14:42,7.329999,1.141199,11.371052,29.8,5,2,"1,5",2,"1,5",148.499938,1099.32,1,0,0,0,0,OTHER,HOME
1123731,4,14,3,1,2012-07-27 09:34:01,2012-07-27 09:48:49,14.8,3.0926,16.647222,42.9,5,2,"5,1",2,"1,5",12.011157,210.7,1,0,0,0,0,HOME,OTHER
1123731,4,15,3,2,2012-07-27 13:19:31,2012-07-27 13:39:59,20.469999,2.409699,10.411196,49.7,5,3,"1,5,1",2,"1,5",32.246363,28.18,1,0,0,0,0,OTHER,OTHER
1123731,4,16,3,3,2012-07-27 14:08:10,2012-07-27 14:20:27,12.279999,2.164499,12.684536,37.3,5,3,"1,5,1",2,"1,5",239.633203,5.83,1,0,0,0,0,OTHER,OTHER
1123731,4,17,3,4,2012-07-27 14:26:17,2012-07-27 14:32:02,5.75,0.823499,11.565822,26.1,5,2,"1,5",2,"1,5",25.414179,56.95,1,0,0,0,0,OTHER,HOME
1123731,4,18,3,5,2012-07-27 15:28:59,2012-07-27 18:13:29,164.5,125.143997,48.277122,83.9,5,2,"5,1",2,"1,5",50.680988,4.97,1,0,0,0,0,HOME,OTHER
1123731,4,19,3,6,2012-07-27 18:18:27,2012-07-27 18:21:52,3.42,0.1189,4.9625,11.8,5,1,5,1,5,9.448703,1.77,1,0,0,0,0,OTHER,OTHER
1123731,4,20,3,7,2012-07-27 18:23:38,2012-07-27 20:49:56,146.300003,174.238006,72.050154,85.7,5,1,5,1,5,11.207065,780.52,1,0,0,0,0,OTHER,OTHER
