sampno,perno,gpstripid,localid,time_local,gpsspeed
1125492,2,1,2,2012-04-12 13:53:14,1.2
1125492,2,1,3,2012-04-12 13:53:18,1.2
1125492,2,1,4,2012-04-12 13:53:24,1.899999
1125492,2,1,5,2012-04-12 13:53:29,1.2
1125492,2,1,6,2012-04-12 13:53:32,3.099999
1125492,2,1,7,2012-04-12 13:53:35,3.099999
1125492,2,1,8,2012-04-12 13:53:39,1.2
1125492,2,1,9,2012-04-12 13:53:42,5.0
1125492,2,1,10,2012-04-12 13:53:45,7.5
1125492,2,1,11,2012-04-12 13:53:48,6.8
1125492,2,1,12,2012-04-12 13:53:51,5.0
1125492,2,1,13,2012-04-12 13:53:54,4.3
1125492,2,1,14,2012-04-12 13:53:57,1.899999
1125492,2,1,15,2012-04-12 13:54:17,4.3
1125492,2,1,16,2012-04-12 13:54:20,4.3
1125492,2,1,17,2012-04-12 13:54:23,5.0
1125492,2,1,18,2012-04-12 13:54:26,7.5
1125492,2,1,19,2012-04-12 13:54:29,6.8
1125492,2,1,20,2012-04-12 13:54:32,3.099999
1125492,2,1,21,2012-04-12 13:54:35,3.099999
1125492,2,1,22,2012-04-12 13:54:38,8.1
1125492,2,1,23,2012-04-12 13:54:41,14.899999
1125492,2,1,24,2012-04-12 13:54:44,16.799999
1125492,2,1,25,2012-04-12 13:54:47,13.0
1125492,2,1,26,2012-04-12 13:54:50,5.0
1125492,2,1,27,2012-04-12 13:54:55,1.2
1125492,2,1,28,2012-04-12 13:54:58,1.2
1125492,2,1,29,2012-04-12 13:55:01,1.2
1125492,2,1,30,2012-04-12 13:55:04,4.3
1125492,2,1,31,2012-04-12 13:55:07,14.899999
1125492,2,1,32,2012-04-12 13:55:10,23.6
1125492,2,1,33,2012-04-12 13:55:13,29.799999
1125492,2,1,34,2012-04-12 13:55:16,32.900001
1125492,2,1,35,2012-04-12 13:55:19,37.299999
1125492,2,1,36,2012-04-12 13:55:22,38.5
1125492,2,1,37,2012-04-12 13:55:25,38.5
1125492,2,1,38,2012-04-12 13:55:28,37.900001
1125492,2,1,39,2012-04-12 13:55:31,37.900001
1125492,2,1,40,2012-04-12 13:55:34,36.0
1125492,2,1,41,2012-04-12 13:55:37,32.900001
1125492,2,1,42,2012-04-12 13:55:40,30.399999
1125492,2,1,43,2012-04-12 13:55:43,27.299999
1125492,2,1,44,2012-04-12 13:55:46,23.0
1125492,2,1,45,2012-04-12 13:55:49,17.399999
1125492,2,1,46,2012-04-12 13:55:52,19.299999
1125492,2,1,47,2012-04-12 13:55:55,23.0
1125492,2,1,48,2012-04-12 13:55:58,26.1
1125492,2,1,49,2012-04-12 13:56:01,28.6
1125492,2,1,50,2012-04-12 13:56:04,31.7
1125492,2,1,51,2012-04-12 13:56:07,34.799999
1125492,2,1,52,2012-04-12 13:56:10,37.299999
1125492,2,1,53,2012-04-12 13:56:13,38.5
1125492,2,1,54,2012-04-12 13:56:16,39.799999
1125492,2,1,55,2012-04-12 13:56:19,41.0
1125492,2,1,56,2012-04-12 13:56:22,41.599998
1125492,2,1,57,2012-04-12 13:56:25,42.299999
1125492,2,1,58,2012-04-12 13:56:28,42.299999
1125492,2,1,59,2012-04-12 13:56:31,41.599998
1125492,2,1,60,2012-04-12 13:56:34,42.299999
1125492,2,1,61,2012-04-12 13:56:37,42.299999
1125492,2,1,62,2012-04-12 13:56:40,41.0
1125492,2,1,63,2012-04-12 13:56:43,39.099998
1125492,2,1,64,2012-04-12 13:56:46,34.799999
1125492,2,1,65,2012-04-12 13:56:49,28.6
1125492,2,1,66,2012-04-12 13:56:52,20.5
1125492,2,1,67,2012-04-12 13:56:55,11.8
1125492,2,1,68,2012-04-12 13:56:58,3.099999
1125492,2,1,69,2012-04-12 13:57:28,1.899999
1125492,2,1,70,2012-04-12 13:57:31,10.6
1125492,2,1,71,2012-04-12 13:57:34,14.3
1125492,2,1,72,2012-04-12 13:57:37,15.5
1125492,2,1,73,2012-04-12 13:57:40,21.1
1125492,2,1,74,2012-04-12 13:57:43,26.1
1125492,2,1,75,2012-04-12 13:57:46,28.0
1125492,2,1,76,2012-04-12 13:57:49,29.799999
1125492,2,1,77,2012-04-12 13:57:52,31.1
1125492,2,1,78,2012-04-12 13:57:55,31.7
1125492,2,1,79,2012-04-12 13:57:58,26.1
1125492,2,1,80,2012-04-12 13:58:01,19.899999
1125492,2,1,81,2012-04-12 13:58:04,12.399999
1125492,2,1,82,2012-04-12 13:58:07,16.2
1125492,2,1,83,2012-04-12 13:58:10,18.6
1125492,2,1,84,2012-04-12 13:58:13,20.5
1125492,2,1,85,2012-04-12 13:58:16,23.0
1125492,2,1,86,2012-04-12 13:58:19,24.2
1125492,2,1,87,2012-04-12 13:58:22,24.899999
1125492,2,1,88,2012-04-12 13:58:25,23.0
1125492,2,1,89,2012-04-12 13:58:28,22.399999
1125492,2,1,90,2012-04-12 13:58:31,21.7
1125492,2,1,91,2012-04-12 13:58:34,20.5
1125492,2,1,92,2012-04-12 13:58:37,21.1
