sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1125309,2,1,1,1,2012-03-01 07:58:23,2012-03-01 08:16:46,18.379999,4.3298,15.701954,36.7,5,2,"1,5",2,"1,5",,5.07,1,0,0,0,0,OTHER,OTHER
1125309,2,2,1,2,2012-03-01 08:21:50,2012-03-01 08:22:52,1.029999,0.207399,11.819047,28.6,5,1,5,1,5,59.89344,19.18,1,1,1,0,0,OTHER,OTHER
1125309,2,3,1,3,2012-03-01 08:42:03,2012-03-01 08:55:51,13.8,3.2351,16.189316,32.9,5,1,5,1,5,21.832001,10.52,1,1,1,0,0,OTHER,OTHER
1125309,2,4,1,4,2012-03-01 09:06:22,2012-03-01 09:17:20,10.97,2.1006,13.564606,29.2,5,1,5,1,5,85.860273,4.65,1,1,1,0,0,OTHER,OTHER
1125309,2,5,1,5,2012-03-01 09:21:59,2012-03-01 09:25:15,3.269999,0.7235,12.71875,24.9,5,1,5,1,5,116.093214,6.17,1,1,1,0,0,OTHER,OTHER
1125309,2,6,1,6,2012-03-01 09:31:25,2012-03-01 09:44:37,13.199999,3.6765,21.014009,34.8,5,1,5,1,5,65.679103,55.68,1,1,1,0,0,OTHER,OTHER
1125309,2,7,1,7,2012-03-01 10:40:18,2012-03-01 10:41:24,1.1,0.2431,11.77826,19.9,5,1,5,1,5,64.49376,3.97,1,1,1,0,0,OTHER,OTHER
1125309,2,8,1,8,2012-03-01 10:45:22,2012-03-01 10:53:57,8.579999,2.8726,21.46258,33.6,5,1,5,1,5,102.32517,6.52,1,1,1,0,0,OTHER,OTHER
1125309,2,9,1,9,2012-03-01 11:00:28,2012-03-01 11:03:01,2.549999,0.4521,10.70851,19.9,5,1,5,1,5,65.928785,7.37,1,1,1,0,0,OTHER,OTHER
1125309,2,10,1,10,2012-03-01 11:10:23,2012-03-01 11:15:00,4.619999,1.0749,13.890697,26.7,5,1,5,1,5,146.578026,2.55,1,1,1,0,0,OTHER,OTHER
1125309,2,11,1,11,2012-03-01 11:17:33,2012-03-01 11:27:04,9.52,2.1665,13.348275,29.8,5,1,5,1,5,38.621376,4.5,1,1,1,0,0,OTHER,OTHER
1125309,2,12,1,12,2012-03-01 11:31:34,2012-03-01 11:39:50,8.27,2.8661,22.027272,37.3,5,1,5,1,5,182.614644,5.8,1,1,1,0,0,OTHER,OTHER
1125309,2,13,1,13,2012-03-01 11:45:38,2012-03-01 11:47:41,2.049999,0.697099,19.335714,29.2,5,1,5,1,5,145.81863,6.9,1,1,1,0,0,OTHER,OTHER
1125309,2,14,1,14,2012-03-01 11:54:35,2012-03-01 12:02:12,7.619999,1.1611,12.641346,25.5,5,1,5,1,5,149.386761,3.28,1,1,1,0,0,OTHER,OTHER
1125309,2,15,1,15,2012-03-01 12:05:29,2012-03-01 12:11:14,5.75,0.830399,8.777669,18.6,5,1,5,1,5,108.336323,3.63,1,1,1,0,0,OTHER,OTHER
1125309,2,16,1,16,2012-03-01 12:14:52,2012-03-01 12:20:05,5.219999,0.749599,10.392592,24.2,5,1,5,1,5,53.30003,1.38,1,1,1,0,0,OTHER,OTHER
1125309,2,17,1,17,2012-03-01 12:21:28,2012-03-01 12:22:14,0.769999,0.0847,5.668749,11.2,5,1,5,1,5,40.066814,8.58,1,1,1,0,0,OTHER,OTHER
1125309,2,18,1,18,2012-03-01 12:30:49,2012-03-01 12:34:45,3.93,0.809199,12.035526,23.0,5,1,5,1,5,93.090738,2.58,1,1,1,0,0,OTHER,OTHER
1125309,2,19,1,19,2012-03-01 12:37:20,2012-03-01 12:48:12,10.869999,3.130599,16.953554,31.1,5,1,5,1,5,51.43783,3.18,1,1,1,0,0,OTHER,OTHER
1125309,2,20,1,20,2012-03-01 12:51:23,2012-03-01 12:57:25,6.03,1.796399,20.4,32.9,5,1,5,1,5,127.415161,3.12,1,1,1,0,0,OTHER,OTHER
