sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1121448,1,1,1,1,2012-04-25 06:59:10,2012-04-25 08:00:08,60.970001,58.743301,61.032631,83.3,6,1,6,1,6,,551.13,1,0,0,0,0,OTHER,WORK
1121448,1,2,1,2,2012-04-25 17:11:16,2012-04-25 18:18:58,67.699996,59.142299,55.47233,74.6,6,1,6,1,6,54.769127,761.25,1,0,0,0,0,WORK,HOME
1121448,1,3,2,1,2012-04-26 07:00:13,2012-04-26 08:02:41,62.470001,59.205799,60.782467,78.9,5,2,"5,1",2,"1,5",36.011307,546.43,1,0,0,0,0,HOME,WORK
1121448,1,4,2,2,2012-04-26 17:09:07,2012-04-26 18:30:04,80.949996,59.916599,48.502555,72.7,5,1,5,1,5,68.048863,7.38,1,0,0,0,0,WORK,OTHER
1121448,1,5,2,3,2012-04-26 18:37:27,2012-04-26 18:41:35,4.13,0.457199,8.539344,23.6,5,1,5,1,5,27.678647,5.35,1,0,0,0,0,OTHER,OTHER
1121448,1,6,2,4,2012-04-26 18:46:56,2012-04-26 18:54:10,7.23,1.8492,16.440457,27.3,5,1,5,1,5,49.053844,17.93,1,0,0,0,0,OTHER,HOME
1121448,1,7,2,5,2012-04-26 19:12:06,2012-04-26 19:20:33,8.449999,0.2892,2.477477,3.7,1,1,1,1,1,11.333985,699.42,1,0,1,0,1,HOME,HOME
1121448,1,8,3,1,2012-04-27 06:59:58,2012-04-27 08:02:43,62.75,55.671501,56.178511,78.3,5,2,"5,1",2,"1,5",40.084797,640.25,1,0,0,0,0,HOME,WORK
1121448,1,9,3,2,2012-04-27 18:42:58,2012-04-27 19:46:56,63.970001,60.086299,62.676317,80.8,5,2,"1,5",2,"1,5",113.946223,0.0,1,0,0,0,0,WORK,HOME
