sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1123124,3,1,1,1,2012-03-12 07:47:07,2012-03-12 07:57:35,10.47,2.073499,16.219178,35.4,24,1,24,1,24,,0.1,1,0,0,0,0,HOME,OTHER
1123124,3,2,1,2,2012-03-12 07:57:41,2012-03-12 07:59:41,2.0,0.139799,2.459999,5.6,1,1,1,1,1,10.822415,6.1,1,0,1,1,0,OTHER,OTHER
1123124,3,3,1,3,2012-03-12 08:05:47,2012-03-12 09:06:40,60.880001,26.3542,36.391412,69.0,5,1,5,1,5,18.913662,0.13,1,0,0,0,0,OTHER,OTHER
1123124,3,4,1,4,2012-03-12 09:06:48,2012-03-12 09:09:37,2.819999,0.063699,2.066666,4.3,1,1,1,1,1,7.75925,13.72,1,0,1,1,0,OTHER,OTHER
1123124,3,5,1,5,2012-03-12 09:23:20,2012-03-12 09:31:50,8.5,0.3833,2.822068,4.3,1,1,1,1,1,18.401864,1.68,1,0,0,0,0,OTHER,OTHER
1123124,3,6,1,6,2012-03-12 09:33:31,2012-03-12 09:44:24,10.88,4.7831,30.041884,62.8,5,2,"5,1",2,"1,5",18.919411,295.68,1,0,0,0,0,OTHER,OTHER
1123124,3,7,1,7,2012-03-12 14:40:05,2012-03-12 14:49:06,9.02,4.594399,32.341176,67.1,5,2,"1,5",2,"1,5",29.114284,0.55,1,0,0,0,0,OTHER,OTHER
1123124,3,8,1,8,2012-03-12 14:49:39,2012-03-12 14:54:45,5.099999,1.129799,16.994871,41.6,5,1,5,1,5,6.754586,3.92,1,0,0,0,0,OTHER,OTHER
1123124,3,9,1,9,2012-03-12 14:58:40,2012-03-12 15:27:16,28.6,7.271399,19.055481,66.5,5,2,"5,1",2,"1,5",35.466445,6.88,1,0,0,0,0,OTHER,OTHER
1123124,3,10,1,10,2012-03-12 15:34:09,2012-03-12 15:36:13,2.069999,0.090899,1.574285,2.5,1,1,1,1,1,34.031092,0.47,1,0,0,0,0,OTHER,OTHER
1123124,3,11,1,11,2012-03-12 15:36:41,2012-03-12 15:38:41,2.0,0.104999,1.523333,2.5,1,1,1,1,1,60.202113,26.82,1,0,0,0,0,OTHER,OTHER
1123124,3,12,1,12,2012-03-12 16:05:30,2012-03-12 16:07:53,2.38,0.1035,2.307499,3.1,1,1,1,1,1,44.76724,19.35,1,0,0,0,0,OTHER,OTHER
1123124,3,13,1,13,2012-03-12 16:27:14,2012-03-12 16:38:51,11.619999,2.044699,11.584924,34.2,5,2,"1,5",2,"1,5",12.233241,0.47,1,0,0,0,0,OTHER,OTHER
1123124,3,14,1,14,2012-03-12 16:39:19,2012-03-12 16:57:33,18.229999,9.3156,32.948377,70.2,5,1,5,1,5,23.274368,242.8,1,0,0,0,0,OTHER,OTHER
1123124,3,15,1,15,2012-03-12 21:00:21,2012-03-12 21:08:08,7.78,4.6251,37.790344,69.0,5,1,5,1,5,0.0,0.12,1,0,0,0,0,OTHER,OTHER
1123124,3,16,1,16,2012-03-12 21:08:15,2012-03-12 21:10:34,2.319999,0.0505,6.422222,10.6,5,1,5,1,5,11.421111,1.98,1,0,1,1,1,OTHER,OTHER
1123124,3,17,1,17,2012-03-12 21:12:33,2012-03-12 21:21:11,8.63,4.135099,32.53841,66.5,5,2,"5,1",2,"1,5",7.214943,10.53,1,0,0,0,0,OTHER,OTHER
1123124,3,18,1,18,2012-03-12 21:31:43,2012-03-12 21:36:19,4.599999,0.918299,14.357894,34.2,5,2,"1,5",2,"1,5",65.497467,1150.38,1,0,0,0,0,OTHER,OTHER
1123124,3,19,2,1,2012-03-13 16:46:42,2012-03-13 16:58:53,12.18,4.591599,31.243999,55.3,5,1,5,1,5,13.804801,0.38,1,0,0,0,0,OTHER,OTHER
1123124,3,20,2,2,2012-03-13 16:59:16,2012-03-13 17:03:51,4.579999,1.2156,16.57931,29.2,15,1,15,1,15,11.192734,17.78,1,0,0,0,0,OTHER,OTHER
1123124,3,21,2,3,2012-03-13 17:21:38,2012-03-13 17:29:56,8.3,2.039799,17.5,44.1,5,1,5,1,5,9.293536,6.55,1,0,0,0,0,OTHER,OTHER
1123124,3,22,2,4,2012-03-13 17:36:29,2012-03-13 17:42:04,5.579999,0.1492,2.25102,6.2,1,1,1,1,1,7.214943,0.18,1,0,1,1,1,OTHER,OTHER
1123124,3,23,2,5,2012-03-13 17:42:15,2012-03-13 18:50:26,68.18,24.9622,33.820935,68.4,24,1,24,1,24,15.730729,0.53,1,0,0,0,0,OTHER,OTHER
1123124,3,24,2,6,2012-03-13 18:50:58,2012-03-13 18:52:05,1.12,0.079899,2.793749,5.0,1,1,1,1,1,210.666259,0.78,1,0,1,1,0,OTHER,OTHER
1123124,3,25,2,7,2012-03-13 18:52:52,2012-03-13 19:03:22,10.5,2.2625,14.888439,33.6,15,1,15,1,15,23.267045,0.1,1,0,0,0,0,OTHER,HOME
1123124,3,26,2,8,2012-03-13 19:03:28,2012-03-13 19:05:34,2.099999,0.0772,2.274285,4.3,1,1,1,1,1,15.510663,0.0,1,0,0,0,0,HOME,HOME
