sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1124474,2,1,1,1,2012-02-28 17:27:56,2012-02-28 17:31:30,3.569999,1.664299,28.323943,41.6,5,1,5,1,5,,0.2,1,0,0,0,0,OTHER,OTHER
1124474,2,2,1,2,2012-02-28 17:31:42,2012-02-28 17:34:57,3.25,0.967,18.513114,32.9,5,1,5,1,5,3.607471,64.5,1,0,0,0,0,OTHER,HOME
1124474,2,3,1,3,2012-02-28 18:39:27,2012-02-28 18:44:34,5.119999,0.8826,13.026582,26.7,5,2,"5,1",2,"1,5",21.255206,119.77,1,0,0,0,0,HOME,OTHER
1124474,2,4,1,4,2012-02-28 20:44:20,2012-02-28 20:47:15,2.92,0.4424,9.517999,23.6,5,2,"1,5",2,"1,5",76.24496,42.6,1,0,0,0,0,OTHER,OTHER
1124474,2,5,1,5,2012-02-28 21:29:51,2012-02-28 21:36:24,6.55,1.3183,16.32,29.8,5,1,5,1,5,20.007176,616.38,1,0,0,0,0,OTHER,HOME
1124474,2,6,2,1,2012-02-29 07:52:47,2012-02-29 08:00:46,7.98,3.096699,25.918939,52.2,5,1,5,1,5,44.293231,0.0,1,0,0,0,0,HOME,WORK
