sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1050385,2,1,1,1,2012-05-22 11:33:11,2012-05-22 11:43:58,10.779999,3.786299,26.202924,57.2,5,2,"5,1",2,"1,5",,20.87,1,0,0,0,0,OTHER,SCHOOL
1050385,2,2,1,2,2012-05-22 12:04:50,2012-05-22 12:05:47,0.949999,0.032,1.719999,2.5,1,1,1,1,1,11.194485,10.93,1,0,0,1,0,SCHOOL,SCHOOL
1050385,2,3,1,3,2012-05-22 12:16:43,2012-05-22 12:24:49,8.1,1.758499,20.825252,35.4,5,1,5,1,5,97.836769,1.45,1,0,0,0,0,SCHOOL,OTHER
1050385,2,4,1,4,2012-05-22 12:26:16,2012-05-22 12:43:58,17.7,4.5114,23.158008,47.2,5,2,"5,1",2,"1,5",11.213962,15.53,1,0,0,0,0,OTHER,OTHER
1050385,2,5,1,5,2012-05-22 12:59:30,2012-05-22 12:59:48,0.3,0.018899,2.671428,3.1,1,1,1,1,1,49.185327,10.85,1,0,0,1,0,OTHER,OTHER
1050385,2,6,1,6,2012-05-22 13:10:39,2012-05-22 13:25:00,14.35,2.1756,12.466497,44.1,5,2,"5,1",2,"1,5",21.359105,14.02,1,0,0,0,0,OTHER,OTHER
1050385,2,7,1,7,2012-05-22 13:39:01,2012-05-22 13:54:12,15.18,4.134399,21.390308,43.5,5,2,"1,5",2,"1,5",106.94753,95.4,1,0,0,0,0,OTHER,HOME
1050385,2,8,1,8,2012-05-22 15:29:36,2012-05-22 15:42:33,12.949999,4.766399,29.252577,61.5,5,2,"5,1",2,"1,5",97.011908,51.57,1,0,0,0,0,HOME,OTHER
1050385,2,9,1,9,2012-05-22 16:34:07,2012-05-22 16:45:58,11.85,4.5829,23.727631,51.0,5,2,"1,5",2,"1,5",20.299237,34.8,1,0,0,0,0,OTHER,HOME
1050385,2,10,1,10,2012-05-22 17:20:46,2012-05-22 17:27:05,6.32,1.6129,15.497561,36.7,5,1,5,1,5,42.696703,3.3,1,0,1,0,1,HOME,HOME
1050385,2,11,1,11,2012-05-22 17:30:23,2012-05-22 17:45:22,14.979999,4.079599,20.887445,47.2,5,2,"5,1",2,"1,5",26.736959,229.4,1,0,0,0,0,HOME,OTHER
1050385,2,12,1,12,2012-05-22 21:34:46,2012-05-22 21:46:37,11.85,3.8868,22.434466,39.1,5,2,"1,5",2,"1,5",61.925153,813.47,1,0,0,0,0,OTHER,HOME
1050385,2,13,2,1,2012-05-23 11:20:05,2012-05-23 11:24:18,4.219999,1.2035,15.694366,33.6,5,1,5,1,5,17.93587,247.73,1,0,0,0,0,HOME,OTHER
1050385,2,14,2,2,2012-05-23 15:32:02,2012-05-23 15:36:25,4.38,1.4528,17.306349,34.8,5,1,5,1,5,380.15038,105.02,1,0,0,0,0,OTHER,HOME
1050385,2,15,2,3,2012-05-23 17:21:26,2012-05-23 17:26:44,5.3,1.617599,20.097916,42.3,5,1,5,1,5,80.0977,13.4,1,0,0,0,0,HOME,OTHER
1050385,2,16,2,4,2012-05-23 17:40:08,2012-05-23 17:51:27,11.319999,2.049799,17.880291,38.5,5,1,5,1,5,2.861115,211.22,1,0,0,0,0,OTHER,OTHER
1050385,2,17,2,5,2012-05-23 21:22:40,2012-05-23 21:33:35,10.92,3.880199,22.9355,37.9,5,1,5,1,5,27.939489,1042.0,1,0,0,0,0,OTHER,HOME
1050385,2,18,3,1,2012-05-24 14:55:35,2012-05-24 15:10:21,14.77,3.933099,20.246255,57.8,5,2,"5,1",2,"1,5",,32.47,1,0,0,0,0,OTHER,SCHOOL
1050385,2,19,3,2,2012-05-24 15:42:49,2012-05-24 16:08:24,25.579999,5.787199,19.775,38.5,5,2,"1,5",2,"1,5",43.083533,14.57,1,0,0,0,0,SCHOOL,OTHER
1050385,2,20,3,3,2012-05-24 16:22:58,2012-05-24 16:48:24,25.43,7.405799,19.362556,41.0,5,1,5,1,5,31.454331,109.37,1,0,0,0,0,OTHER,HOME
1050385,2,21,3,4,2012-05-24 18:37:46,2012-05-24 18:53:25,15.649999,3.980499,22.292417,44.7,5,2,"5,1",2,"1,5",22.388168,28.12,1,0,0,0,0,HOME,OTHER
1050385,2,22,3,5,2012-05-24 19:21:32,2012-05-24 19:34:01,12.479999,3.6387,19.738139,37.3,5,2,"1,5",2,"1,5",11.447672,0.0,1,0,0,0,0,OTHER,HOME
