sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1052905,1,1,1,1,2012-05-10 10:28:26,2012-05-10 10:34:57,6.519999,1.8005,19.528571,33.6,5,1,5,1,5,,73.13,1,0,0,0,0,HOME,OTHER
1052905,1,2,1,2,2012-05-10 11:48:05,2012-05-10 11:53:41,5.599999,1.737699,22.155913,35.4,5,1,5,1,5,510.661426,7.77,1,0,0,0,0,OTHER,OTHER
1052905,1,3,1,3,2012-05-10 12:01:27,2012-05-10 12:03:39,2.2,0.324299,13.710714,28.0,5,1,5,1,5,23.205241,2.72,1,0,0,0,0,OTHER,HOME
1052905,1,4,1,4,2012-05-10 12:06:22,2012-05-10 12:07:01,0.649999,0.1453,12.821428,23.6,5,1,5,1,5,49.416355,99.15,1,0,0,0,0,HOME,HOME
1052905,1,5,1,5,2012-05-10 13:46:10,2012-05-10 13:52:26,6.269999,1.765499,20.047619,35.4,5,1,5,1,5,16.040585,82.42,1,0,0,0,0,HOME,OTHER
1052905,1,6,1,6,2012-05-10 15:14:51,2012-05-10 15:16:38,1.779999,0.450199,15.108571,30.4,5,1,5,1,5,432.695924,11.58,1,0,0,0,0,OTHER,OTHER
1052905,1,7,1,7,2012-05-10 15:28:13,2012-05-10 15:38:25,10.199999,2.0083,17.253284,31.7,5,1,5,1,5,54.112078,170.83,1,0,0,0,0,OTHER,HOME
1052905,1,8,1,8,2012-05-10 18:29:15,2012-05-10 18:35:44,6.48,1.9163,19.973451,37.3,5,1,5,1,5,40.602516,178.4,1,0,0,0,0,HOME,OTHER
1052905,1,9,1,9,2012-05-10 21:34:08,2012-05-10 21:39:27,5.32,1.879999,21.5,31.7,5,1,5,1,5,459.914939,666.23,1,0,0,0,0,OTHER,HOME
1052905,1,10,2,1,2012-05-11 08:45:41,2012-05-11 08:52:57,7.269999,1.7601,17.428333,29.2,5,1,5,1,5,69.49358,268.77,1,0,0,0,0,HOME,OTHER
1052905,1,11,2,2,2012-05-11 13:21:43,2012-05-11 13:47:44,26.02,11.492199,36.301055,69.6,5,1,5,1,5,293.830994,92.95,1,0,0,0,0,OTHER,OTHER
1052905,1,12,2,3,2012-05-11 15:20:41,2012-05-11 15:39:31,18.829999,9.791899,36.162769,67.7,5,1,5,1,5,113.40459,1849.83,1,0,0,0,0,OTHER,HOME
1052905,1,13,3,1,2012-05-12 22:29:21,2012-05-12 22:49:27,20.1,10.9354,35.978571,69.6,5,2,"5,1",2,"1,5",,0.0,1,0,0,0,0,OTHER,HOME
