sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1120231,1,1,1,1,2012-02-09 15:11:28,2012-02-09 15:26:29,15.02,0.6416,1.999999,3.1,1,1,1,1,1,,13.12,1,0,0,0,0,HOME,OTHER
1120231,1,2,1,2,2012-02-09 15:39:36,2012-02-09 15:46:42,7.099999,0.337,1.792142,2.5,1,1,1,1,1,42.763213,5.63,1,0,0,0,0,OTHER,OTHER
1120231,1,3,1,3,2012-02-09 15:52:20,2012-02-09 15:59:34,7.23,0.2352,2.004807,2.5,1,1,1,1,1,14.78987,158.67,1,0,0,0,0,OTHER,HOME
1120231,1,4,1,4,2012-02-09 18:38:14,2012-02-09 18:38:45,0.519999,0.0146,1.8,2.5,1,1,1,1,1,22.460446,1.05,1,0,0,0,0,HOME,HOME
1120231,1,5,1,5,2012-02-09 18:39:48,2012-02-09 18:40:25,0.62,0.0142,1.6,1.9,1,1,1,1,1,18.26405,1106.25,1,0,0,0,0,HOME,HOME
1120231,1,6,2,1,2012-02-10 13:06:40,2012-02-10 13:20:18,13.63,0.5654,1.945724,2.5,1,1,1,1,1,18.927837,11.1,1,0,0,0,0,HOME,OTHER
1120231,1,7,2,2,2012-02-10 13:31:24,2012-02-10 13:45:13,13.819999,0.5676,1.885551,2.5,1,1,1,1,1,21.378089,0.0,1,0,0,0,0,OTHER,HOME
