sampno,perno,gpstripid,localid,time_local,gpsspeed
1125309,1,1,2,2012-03-01 07:07:21,60.299999
1125309,1,1,3,2012-03-01 07:07:24,60.900001
1125309,1,1,4,2012-03-01 07:07:27,62.799999
1125309,1,1,5,2012-03-01 07:07:30,64.599998
1125309,1,1,6,2012-03-01 07:07:33,66.5
1125309,1,1,7,2012-03-01 07:07:36,68.400001
1125309,1,1,8,2012-03-01 07:07:39,67.699996
1125309,1,1,9,2012-03-01 07:07:42,65.900001
1125309,1,1,10,2012-03-01 07:07:45,65.900001
1125309,1,1,11,2012-03-01 07:07:48,65.199996
1125309,1,1,12,2012-03-01 07:07:51,65.900001
1125309,1,1,13,2012-03-01 07:07:54,67.099998
1125309,1,1,14,2012-03-01 07:07:57,69.0
1125309,1,1,15,2012-03-01 07:08:00,69.0
1125309,1,1,16,2012-03-01 07:08:03,69.0
1125309,1,1,17,2012-03-01 07:08:06,67.699996
1125309,1,1,18,2012-03-01 07:08:09,67.699996
1125309,1,1,19,2012-03-01 07:08:12,68.400001
1125309,1,1,20,2012-03-01 07:08:15,69.0
1125309,1,1,21,2012-03-01 07:08:18,69.0
1125309,1,1,22,2012-03-01 07:08:21,69.0
1125309,1,1,23,2012-03-01 07:08:24,69.599998
1125309,1,1,24,2012-03-01 07:08:27,70.199996
1125309,1,1,25,2012-03-01 07:08:30,69.599998
1125309,1,1,26,2012-03-01 07:08:33,69.0
1125309,1,1,27,2012-03-01 07:08:36,69.599998
1125309,1,1,28,2012-03-01 07:08:39,67.699996
1125309,1,1,29,2012-03-01 07:08:42,66.5
1125309,1,1,30,2012-03-01 07:08:45,67.699996
1125309,1,1,31,2012-03-01 07:08:48,67.699996
1125309,1,1,32,2012-03-01 07:08:51,67.099998
1125309,1,1,33,2012-03-01 07:08:54,65.199996
1125309,1,1,34,2012-03-01 07:08:57,64.0
1125309,1,1,35,2012-03-01 07:09:00,63.400001
1125309,1,1,36,2012-03-01 07:09:03,62.799999
1125309,1,1,37,2012-03-01 07:09:06,60.900001
1125309,1,1,38,2012-03-01 07:09:09,61.5
1125309,1,1,39,2012-03-01 07:09:12,62.099998
1125309,1,1,40,2012-03-01 07:09:15,60.900001
