sampno,perno,gpstripid,localid,time_local,gpsspeed
1119993,2,1,15,2012-05-09 07:33:58,1.2
1119993,2,1,16,2012-05-09 07:34:05,1.2
1119993,2,1,17,2012-05-09 07:34:18,3.099999
1119993,2,1,18,2012-05-09 07:34:21,4.3
1119993,2,1,19,2012-05-09 07:34:24,4.3
1119993,2,1,20,2012-05-09 07:34:27,5.0
1119993,2,1,21,2012-05-09 07:34:30,4.3
1119993,2,1,22,2012-05-09 07:34:33,6.8
1119993,2,1,23,2012-05-09 07:34:36,8.1
1119993,2,1,24,2012-05-09 07:34:39,8.699999
1119993,2,1,25,2012-05-09 07:34:42,8.699999
1119993,2,1,26,2012-05-09 07:34:45,8.699999
1119993,2,1,27,2012-05-09 07:34:48,8.699999
1119993,2,1,28,2012-05-09 07:34:51,9.899999
1119993,2,1,29,2012-05-09 07:34:54,9.899999
1119993,2,1,30,2012-05-09 07:34:57,10.6
1119993,2,1,31,2012-05-09 07:35:00,11.199999
1119993,2,1,32,2012-05-09 07:35:03,11.199999
1119993,2,1,33,2012-05-09 07:35:06,10.6
1119993,2,1,34,2012-05-09 07:35:09,10.6
1119993,2,1,35,2012-05-09 07:35:12,9.899999
1119993,2,1,36,2012-05-09 07:35:15,10.6
1119993,2,1,37,2012-05-09 07:35:18,9.3
1119993,2,1,38,2012-05-09 07:35:21,9.3
1119993,2,1,39,2012-05-09 07:35:24,9.899999
1119993,2,1,40,2012-05-09 07:35:27,10.6
1119993,2,1,41,2012-05-09 07:35:30,10.6
1119993,2,1,42,2012-05-09 07:35:33,9.899999
1119993,2,1,43,2012-05-09 07:35:36,10.6
1119993,2,1,44,2012-05-09 07:35:39,9.899999
1119993,2,1,45,2012-05-09 07:35:42,9.899999
1119993,2,1,46,2012-05-09 07:35:45,9.899999
1119993,2,1,47,2012-05-09 07:35:48,9.899999
1119993,2,1,48,2012-05-09 07:35:51,9.899999
1119993,2,1,49,2012-05-09 07:35:54,9.899999
1119993,2,1,50,2012-05-09 07:35:57,9.899999
1119993,2,1,51,2012-05-09 07:36:00,9.899999
1119993,2,1,52,2012-05-09 07:36:03,9.899999
1119993,2,1,53,2012-05-09 07:36:06,9.3
1119993,2,1,54,2012-05-09 07:36:09,9.899999
1119993,2,1,55,2012-05-09 07:36:12,9.899999
1119993,2,1,56,2012-05-09 07:36:15,9.899999
1119993,2,1,57,2012-05-09 07:36:18,9.3
1119993,2,1,58,2012-05-09 07:36:21,9.3
1119993,2,1,59,2012-05-09 07:36:24,8.699999
1119993,2,1,60,2012-05-09 07:36:27,9.899999
1119993,2,1,61,2012-05-09 07:36:30,8.699999
1119993,2,1,62,2012-05-09 07:36:33,8.699999
1119993,2,1,63,2012-05-09 07:36:36,7.5
1119993,2,1,64,2012-05-09 07:36:39,7.5
1119993,2,1,65,2012-05-09 07:36:42,8.699999
1119993,2,1,66,2012-05-09 07:36:45,11.199999
1119993,2,1,67,2012-05-09 07:36:48,11.8
1119993,2,1,68,2012-05-09 07:36:51,13.0
1119993,2,1,69,2012-05-09 07:36:54,13.0
1119993,2,1,70,2012-05-09 07:36:57,13.699999
1119993,2,1,71,2012-05-09 07:37:00,13.0
1119993,2,1,72,2012-05-09 07:37:03,12.399999
1119993,2,1,73,2012-05-09 07:37:06,13.0
1119993,2,1,74,2012-05-09 07:37:09,13.0
1119993,2,1,75,2012-05-09 07:37:12,10.6
1119993,2,1,76,2012-05-09 07:37:15,9.899999
1119993,2,1,77,2012-05-09 07:37:18,11.199999
1119993,2,1,78,2012-05-09 07:37:21,11.199999
1119993,2,1,79,2012-05-09 07:37:24,11.199999
1119993,2,1,80,2012-05-09 07:37:27,11.199999
1119993,2,1,81,2012-05-09 07:37:30,11.199999
1119993,2,1,82,2012-05-09 07:37:33,11.199999
1119993,2,1,83,2012-05-09 07:37:36,11.199999
1119993,2,1,84,2012-05-09 07:37:39,11.199999
1119993,2,1,85,2012-05-09 07:37:42,10.6
1119993,2,1,86,2012-05-09 07:37:45,7.5
1119993,2,1,87,2012-05-09 07:37:48,7.5
1119993,2,1,88,2012-05-09 07:37:51,6.8
1119993,2,1,89,2012-05-09 07:37:54,7.5
1119993,2,1,90,2012-05-09 07:37:57,6.199999
1119993,2,1,91,2012-05-09 07:38:00,5.599999
1119993,2,1,92,2012-05-09 07:38:03,5.0
1119993,2,1,93,2012-05-09 07:38:06,3.7
1119993,2,2,103,2012-05-09 07:45:15,2.5
1119993,2,2,104,2012-05-09 07:45:18,3.099999
1119993,2,2,105,2012-05-09 07:45:21,4.3
1119993,2,2,106,2012-05-09 07:45:24,2.5
1119993,2,2,107,2012-05-09 07:45:41,3.099999
1119993,2,2,108,2012-05-09 07:45:44,8.1
1119993,2,2,109,2012-05-09 07:45:47,15.5
1119993,2,2,110,2012-05-09 07:45:50,20.5
1119993,2,2,111,2012-05-09 07:45:53,23.0
1119993,2,2,112,2012-05-09 07:45:56,24.899999
1119993,2,2,113,2012-05-09 07:45:59,24.2
1119993,2,2,114,2012-05-09 07:46:02,24.899999
1119993,2,2,115,2012-05-09 07:46:05,26.1
1119993,2,2,116,2012-05-09 07:46:08,25.5
1119993,2,2,117,2012-05-09 07:46:11,22.399999
1119993,2,2,118,2012-05-09 07:46:14,18.0
1119993,2,2,119,2012-05-09 07:46:17,11.199999
1119993,2,2,120,2012-05-09 07:46:20,4.3
1119993,2,2,121,2012-05-09 07:46:23,1.2
1119993,2,2,122,2012-05-09 07:46:26,3.7
1119993,2,2,123,2012-05-09 07:46:29,1.2
1119993,2,2,124,2012-05-09 07:46:42,1.2
1119993,2,2,125,2012-05-09 07:46:45,1.2
1119993,2,2,126,2012-05-09 07:46:49,1.2
1119993,2,2,127,2012-05-09 07:46:52,6.199999
1119993,2,2,128,2012-05-09 07:46:55,16.2
1119993,2,2,129,2012-05-09 07:46:58,21.7
1119993,2,2,130,2012-05-09 07:47:01,21.7
1119993,2,2,131,2012-05-09 07:47:04,14.3
1119993,2,2,132,2012-05-09 07:47:07,5.599999
1119993,2,2,133,2012-05-09 07:47:10,8.1
1119993,2,2,134,2012-05-09 07:47:13,14.3
1119993,2,2,135,2012-05-09 07:47:16,9.899999
1119993,2,2,136,2012-05-09 07:47:19,7.8
1119993,2,2,137,2012-05-09 07:47:22,12.399999
1119993,2,2,138,2012-05-09 07:47:25,16.2
1119993,2,2,139,2012-05-09 07:47:28,16.2
1119993,2,2,140,2012-05-09 07:47:31,17.399999
1119993,2,2,141,2012-05-09 07:47:34,10.6
1119993,2,2,142,2012-05-09 07:47:37,5.599999
1119993,2,2,143,2012-05-09 07:47:40,7.5
1119993,2,2,144,2012-05-09 07:47:43,11.199999
1119993,2,2,145,2012-05-09 07:47:46,9.899999
1119993,2,2,146,2012-05-09 07:47:49,4.3
1119993,2,2,147,2012-05-09 07:47:52,9.3
1119993,2,2,148,2012-05-09 07:47:55,13.699999
1119993,2,2,149,2012-05-09 07:47:58,11.8
1119993,2,2,150,2012-05-09 07:48:01,3.099999
1119993,2,2,151,2012-05-09 07:48:04,5.0
1119993,2,2,152,2012-05-09 07:48:09,12.399999
1119993,2,2,153,2012-05-09 07:48:12,18.0
1119993,2,2,154,2012-05-09 07:48:15,19.299999
1119993,2,2,155,2012-05-09 07:48:18,22.399999
1119993,2,2,156,2012-05-09 07:48:21,21.7
1119993,2,2,157,2012-05-09 07:48:24,19.899999
1119993,2,2,158,2012-05-09 07:48:27,15.5
1119993,2,2,159,2012-05-09 07:48:30,12.399999
1119993,2,2,160,2012-05-09 07:48:33,13.699999
1119993,2,2,161,2012-05-09 07:48:36,16.2
1119993,2,2,162,2012-05-09 07:48:39,17.399999
1119993,2,2,163,2012-05-09 07:48:42,12.399999
1119993,2,2,164,2012-05-09 07:48:45,3.7
1119993,2,2,165,2012-05-09 07:48:48,6.199999
1119993,2,2,166,2012-05-09 07:48:51,10.6
1119993,2,2,167,2012-05-09 07:48:54,18.0
1119993,2,2,168,2012-05-09 07:48:57,21.1
1119993,2,2,169,2012-05-09 07:49:00,20.5
1119993,2,2,170,2012-05-09 07:49:03,19.299999
1119993,2,2,171,2012-05-09 07:49:06,13.0
1119993,2,2,172,2012-05-09 07:49:09,6.8
1119993,2,2,173,2012-05-09 07:49:12,1.2
1119993,2,2,174,2012-05-09 07:49:15,1.899999
1119993,2,2,175,2012-05-09 07:49:18,4.3
1119993,2,2,176,2012-05-09 07:49:21,5.0
1119993,2,2,177,2012-05-09 07:49:24,8.699999
1119993,2,2,178,2012-05-09 07:49:27,11.199999
1119993,2,2,179,2012-05-09 07:49:30,17.399999
1119993,2,2,180,2012-05-09 07:49:33,23.0
1119993,2,2,181,2012-05-09 07:49:36,26.1
1119993,2,2,182,2012-05-09 07:49:39,29.2
1119993,2,2,183,2012-05-09 07:49:42,30.399999
1119993,2,2,184,2012-05-09 07:49:45,28.6
1119993,2,2,185,2012-05-09 07:49:48,26.7
1119993,2,2,186,2012-05-09 07:49:51,28.0
1119993,2,2,187,2012-05-09 07:49:54,28.0
1119993,2,2,188,2012-05-09 07:49:57,28.6
1119993,2,2,189,2012-05-09 07:50:00,32.299999
1119993,2,2,190,2012-05-09 07:50:03,34.799999
1119993,2,2,191,2012-05-09 07:50:06,36.7
1119993,2,2,192,2012-05-09 07:50:09,28.6
1119993,2,2,193,2012-05-09 07:50:12,25.5
1119993,2,2,194,2012-05-09 07:50:15,26.7
1119993,2,2,195,2012-05-09 07:50:18,28.6
1119993,2,2,196,2012-05-09 07:50:21,28.0
1119993,2,2,197,2012-05-09 07:50:24,33.599998
1119993,2,2,198,2012-05-09 07:50:27,31.7
1119993,2,2,199,2012-05-09 07:50:30,31.1
1119993,2,2,200,2012-05-09 07:50:33,29.799999
1119993,2,2,201,2012-05-09 07:50:36,31.1
1119993,2,2,202,2012-05-09 07:50:39,32.299999
1119993,2,2,203,2012-05-09 07:50:42,30.399999
1119993,2,2,204,2012-05-09 07:50:45,28.6
1119993,2,2,205,2012-05-09 07:50:48,31.7
1119993,2,2,206,2012-05-09 07:50:51,32.900001
1119993,2,2,207,2012-05-09 07:50:54,35.400001
1119993,2,2,208,2012-05-09 07:50:57,33.599998
1119993,2,2,209,2012-05-09 07:51:00,32.900001
1119993,2,2,210,2012-05-09 07:51:03,29.799999
1119993,2,2,211,2012-05-09 07:51:06,22.399999
1119993,2,2,212,2012-05-09 07:51:09,8.699999
1119993,2,2,213,2012-05-09 07:51:12,11.199999
1119993,2,2,214,2012-05-09 07:51:15,19.299999
1119993,2,2,215,2012-05-09 07:51:18,18.0
1119993,2,2,216,2012-05-09 07:51:21,16.799999
1119993,2,2,217,2012-05-09 07:51:24,17.399999
1119993,2,2,218,2012-05-09 07:51:27,18.6
1119993,2,2,219,2012-05-09 07:51:30,19.299999
1119993,2,2,220,2012-05-09 07:51:33,23.0
1119993,2,2,221,2012-05-09 07:51:36,25.5
1119993,2,2,222,2012-05-09 07:51:39,26.1
1119993,2,2,223,2012-05-09 07:51:42,26.7
1119993,2,2,224,2012-05-09 07:51:45,26.7
1119993,2,2,225,2012-05-09 07:51:48,26.7
1119993,2,2,226,2012-05-09 07:51:51,24.899999
1119993,2,2,227,2012-05-09 07:51:54,19.899999
1119993,2,2,228,2012-05-09 07:51:57,14.3
1119993,2,2,229,2012-05-09 07:52:00,6.8
1119993,2,2,230,2012-05-09 07:52:03,1.899999
1119993,2,2,231,2012-05-09 07:52:06,1.899999
1119993,2,2,232,2012-05-09 07:52:18,3.099999
1119993,2,2,233,2012-05-09 07:52:21,9.3
1119993,2,2,234,2012-05-09 07:52:24,12.399999
1119993,2,2,235,2012-05-09 07:52:27,15.5
1119993,2,2,236,2012-05-09 07:52:30,17.399999
1119993,2,2,237,2012-05-09 07:52:33,19.299999
1119993,2,2,238,2012-05-09 07:52:36,23.0
1119993,2,2,239,2012-05-09 07:52:39,26.7
