sampno,perno,gpstripid,localid,time_local,gpsspeed
1066541,1,1,2,2012-05-16 07:03:57,8.1
1066541,1,1,3,2012-05-16 07:04:00,12.399999
1066541,1,1,4,2012-05-16 07:04:03,25.5
1066541,1,1,5,2012-05-16 07:04:10,29.2
1066541,1,1,6,2012-05-16 07:04:22,26.1
1066541,1,1,7,2012-05-16 07:04:25,29.799999
1066541,1,1,8,2012-05-16 07:04:32,25.5
1066541,1,1,9,2012-05-16 07:04:35,20.5
1066541,1,1,10,2012-05-16 07:04:38,7.5
1066541,1,1,11,2012-05-16 07:04:41,5.0
1066541,1,1,12,2012-05-16 07:04:44,8.699999
1066541,1,1,13,2012-05-16 07:04:47,19.299999
1066541,1,1,14,2012-05-16 07:04:51,26.7
1066541,1,1,15,2012-05-16 07:04:54,26.1
1066541,1,1,16,2012-05-16 07:04:57,21.1
1066541,1,1,17,2012-05-16 07:05:00,9.899999
1066541,1,1,18,2012-05-16 07:05:03,1.2
1066541,1,1,19,2012-05-16 07:05:09,1.2
1066541,1,1,20,2012-05-16 07:05:15,12.399999
1066541,1,1,21,2012-05-16 07:05:18,32.299999
1066541,1,1,22,2012-05-16 07:05:23,36.7
1066541,1,1,23,2012-05-16 07:05:26,32.299999
1066541,1,1,24,2012-05-16 07:05:29,30.399999
1066541,1,1,25,2012-05-16 07:05:32,26.7
1066541,1,1,26,2012-05-16 07:05:35,24.899999
1066541,1,1,27,2012-05-16 07:05:38,23.6
1066541,1,1,28,2012-05-16 07:05:41,25.5
1066541,1,1,29,2012-05-16 07:05:44,27.299999
1066541,1,1,30,2012-05-16 07:05:47,32.299999
1066541,1,1,31,2012-05-16 07:05:50,32.299999
1066541,1,1,32,2012-05-16 07:05:53,27.299999
1066541,1,1,33,2012-05-16 07:05:56,15.5
1066541,1,1,34,2012-05-16 07:05:59,8.699999
1066541,1,1,35,2012-05-16 07:06:02,1.2
1066541,1,1,36,2012-05-16 07:06:21,3.7
1066541,1,1,37,2012-05-16 07:06:24,12.399999
1066541,1,1,38,2012-05-16 07:06:27,29.2
