sampno,perno,gpstripid,localid,time_local,gpsspeed
1119040,1,1,2,2012-02-08 06:15:23,1.2
1119040,1,1,3,2012-02-08 06:16:32,1.2
1119040,1,1,4,2012-02-08 06:16:35,1.2
1119040,1,1,5,2012-02-08 06:16:38,1.2
1119040,1,1,6,2012-02-08 06:16:41,1.899999
1119040,1,1,7,2012-02-08 06:16:51,2.5
1119040,1,1,8,2012-02-08 06:16:54,1.899999
1119040,1,1,9,2012-02-08 06:16:57,1.899999
1119040,1,1,10,2012-02-08 06:17:00,1.899999
1119040,1,1,11,2012-02-08 06:17:28,1.899999
1119040,1,1,12,2012-02-08 06:17:36,1.2
1119040,1,1,13,2012-02-08 06:18:10,1.2
1119040,1,1,14,2012-02-08 06:18:30,1.2
1119040,1,1,15,2012-02-08 06:18:33,1.2
1119040,1,1,16,2012-02-08 06:18:40,1.2
1119040,1,1,17,2012-02-08 06:18:43,1.2
1119040,1,1,18,2012-02-08 06:18:52,1.2
1119040,1,1,19,2012-02-08 06:18:56,1.2
1119040,1,1,20,2012-02-08 06:19:10,1.2
1119040,1,1,21,2012-02-08 06:19:13,1.899999
1119040,1,1,22,2012-02-08 06:19:17,1.2
1119040,1,1,23,2012-02-08 06:19:20,1.899999
1119040,1,1,24,2012-02-08 06:19:23,5.599999
1119040,1,1,25,2012-02-08 06:19:26,7.5
1119040,1,1,26,2012-02-08 06:19:29,7.5
1119040,1,1,27,2012-02-08 06:19:32,7.5
1119040,1,1,28,2012-02-08 06:19:35,8.1
1119040,1,1,29,2012-02-08 06:19:38,7.5
1119040,1,1,30,2012-02-08 06:19:41,8.699999
1119040,1,1,31,2012-02-08 06:19:44,8.699999
1119040,1,1,32,2012-02-08 06:19:47,7.5
1119040,1,1,33,2012-02-08 06:19:50,4.3
1119040,1,1,34,2012-02-08 06:19:54,1.2
1119040,1,1,35,2012-02-08 06:19:57,3.7
1119040,1,1,36,2012-02-08 06:20:00,5.599999
1119040,1,1,37,2012-02-08 06:20:03,8.1
1119040,1,1,38,2012-02-08 06:20:06,14.3
1119040,1,1,39,2012-02-08 06:20:09,21.7
1119040,1,1,40,2012-02-08 06:20:12,24.899999
1119040,1,1,41,2012-02-08 06:20:15,24.899999
1119040,1,1,42,2012-02-08 06:20:18,27.299999
1119040,1,1,43,2012-02-08 06:20:21,26.7
1119040,1,1,44,2012-02-08 06:20:24,27.299999
1119040,1,1,45,2012-02-08 06:20:27,28.6
1119040,1,1,46,2012-02-08 06:20:30,28.0
1119040,1,1,47,2012-02-08 06:20:33,26.7
1119040,1,1,48,2012-02-08 06:20:36,21.7
1119040,1,1,49,2012-02-08 06:20:39,16.799999
1119040,1,1,50,2012-02-08 06:20:42,6.199999
1119040,1,1,51,2012-02-08 06:20:47,1.2
1119040,1,1,52,2012-02-08 06:20:50,3.7
1119040,1,1,53,2012-02-08 06:20:53,10.6
1119040,1,1,54,2012-02-08 06:20:56,17.399999
1119040,1,1,55,2012-02-08 06:20:59,25.5
1119040,1,1,56,2012-02-08 06:21:02,31.1
1119040,1,1,57,2012-02-08 06:21:05,31.7
1119040,1,1,58,2012-02-08 06:21:08,32.900001
1119040,1,1,59,2012-02-08 06:21:11,34.799999
1119040,1,1,60,2012-02-08 06:21:14,34.799999
1119040,1,1,61,2012-02-08 06:21:17,33.599998
1119040,1,1,62,2012-02-08 06:21:20,34.2
1119040,1,1,63,2012-02-08 06:21:23,34.2
1119040,1,1,64,2012-02-08 06:21:26,34.799999
1119040,1,1,65,2012-02-08 06:21:29,34.799999
1119040,1,1,66,2012-02-08 06:21:32,36.0
1119040,1,1,67,2012-02-08 06:21:35,34.2
1119040,1,1,68,2012-02-08 06:21:38,34.799999
1119040,1,1,69,2012-02-08 06:21:41,34.2
1119040,1,1,70,2012-02-08 06:21:44,31.7
1119040,1,1,71,2012-02-08 06:21:47,23.6
1119040,1,1,72,2012-02-08 06:21:50,17.399999
1119040,1,1,73,2012-02-08 06:21:53,13.0
1119040,1,1,74,2012-02-08 06:21:56,23.0
1119040,1,1,75,2012-02-08 06:21:59,29.799999
1119040,1,1,76,2012-02-08 06:22:02,29.799999
1119040,1,1,77,2012-02-08 06:22:05,28.6
1119040,1,1,78,2012-02-08 06:22:08,27.299999
1119040,1,1,79,2012-02-08 06:22:11,25.5
1119040,1,1,80,2012-02-08 06:22:14,17.399999
1119040,1,1,81,2012-02-08 06:22:17,5.599999
1119040,1,1,82,2012-02-08 06:22:23,1.2
1119040,1,1,83,2012-02-08 06:22:26,8.1
1119040,1,1,84,2012-02-08 06:22:29,19.299999
1119040,1,1,85,2012-02-08 06:22:32,28.0
1119040,1,1,86,2012-02-08 06:22:44,5.0
1119040,1,1,87,2012-02-08 06:22:47,5.599999
1119040,1,1,88,2012-02-08 06:22:50,9.899999
1119040,1,1,89,2012-02-08 06:22:53,25.5
1119040,1,1,90,2012-02-08 06:22:56,39.099998
1119040,1,1,91,2012-02-08 06:22:59,44.7
1119040,1,1,92,2012-02-08 06:23:02,51.599998
1119040,1,1,93,2012-02-08 06:23:05,55.900001
1119040,1,1,94,2012-02-08 06:23:08,59.0
1119040,1,1,95,2012-02-08 06:23:11,63.400001
1119040,1,1,96,2012-02-08 06:23:15,66.5
1119040,1,1,97,2012-02-08 06:23:18,67.699996
1119040,1,1,98,2012-02-08 06:23:21,67.699996
1119040,1,1,99,2012-02-08 06:23:24,67.099998
1119040,1,1,100,2012-02-08 06:23:27,66.5
1119040,1,1,101,2012-02-08 06:23:30,66.5
1119040,1,1,102,2012-02-08 06:23:33,65.900001
1119040,1,1,103,2012-02-08 06:23:36,64.0
1119040,1,1,104,2012-02-08 06:23:39,67.099998
1119040,1,1,105,2012-02-08 06:23:42,67.699996
1119040,1,1,106,2012-02-08 06:23:45,69.0
1119040,1,1,107,2012-02-08 06:23:48,69.599998
